,lat,lng,entropy_mean
0,41.822104,-87.638433668,5.88794009024
1,41.822104,-87.6404481837,5.94837762299
2,41.822104,-87.6424626994,5.15686441496
3,41.822104,-87.6444772151,5.24588311196
4,41.822104,-87.6505207622,5.55002538269
5,41.823604,-87.6263465738,5.78106476479
6,41.823604,-87.6283610895,6.09409874801
7,41.823604,-87.6303756052,5.94644125956
8,41.823604,-87.6323901209,5.87309782984
9,41.823604,-87.6344046366,5.14401255581
10,41.823604,-87.6364191523,4.00249671508
11,41.823604,-87.638433668,5.45771851096
12,41.823604,-87.6404481837,5.716389813
13,41.823604,-87.6424626994,4.92640850713
14,41.823604,-87.6444772151,6.10382421032
15,41.823604,-87.6464917308,5.04073460812
16,41.823604,-87.6485062465,5.32151619678
17,41.823604,-87.6505207622,5.87960611924
18,41.823604,-87.6525352779,5.95409457323
19,41.823604,-87.6545497935,5.34750503691
20,41.823604,-87.6565643092,5.74467858984
21,41.823604,-87.6585788249,5.44115830048
22,41.823604,-87.6605933406,5.72243179861
23,41.823604,-87.6626078563,5.93920806993
24,41.825104,-87.6203030267,5.59537574686
25,41.825104,-87.6243320581,5.88862307264
26,41.825104,-87.6263465738,6.23488588746
27,41.825104,-87.6303756052,5.41256466758
28,41.825104,-87.6344046366,5.5583604038
29,41.825104,-87.6364191523,4.96165020385
30,41.825104,-87.638433668,6.04148943239
31,41.825104,-87.6404481837,5.75396487333
32,41.825104,-87.6424626994,6.29151842055
33,41.825104,-87.6444772151,6.32746793002
34,41.825104,-87.6464917308,5.36550903115
35,41.825104,-87.6485062465,5.80857502407
36,41.825104,-87.6505207622,5.35610423036
37,41.825104,-87.6525352779,5.39259996437
38,41.825104,-87.6545497935,5.03911270855
39,41.825104,-87.6605933406,5.59439265882
40,41.825104,-87.6626078563,4.9973901328
41,41.825104,-87.664622372,5.35694504704
42,41.825104,-87.6666368877,5.72340157266
43,41.825104,-87.6686514034,5.63899624212
44,41.825104,-87.6706659191,5.48451973788
45,41.826604,-87.6162739953,5.99651277228
46,41.826604,-87.618288511,5.45504136274
47,41.826604,-87.6203030267,6.15904449186
48,41.826604,-87.6223175424,6.20366218682
49,41.826604,-87.6243320581,5.63253404102
50,41.826604,-87.6263465738,5.99811819365
51,41.826604,-87.6303756052,5.57129655068
52,41.826604,-87.6344046366,6.52119596886
53,41.826604,-87.638433668,5.73028348148
54,41.826604,-87.6404481837,6.02657454817
55,41.826604,-87.6424626994,6.26730376579
56,41.826604,-87.6444772151,5.69324221023
57,41.826604,-87.6464917308,5.84804004404
58,41.826604,-87.6485062465,6.17250373642
59,41.826604,-87.6505207622,6.2126380871
60,41.826604,-87.6525352779,5.63749442691
61,41.826604,-87.6545497935,5.46678419
62,41.826604,-87.6605933406,5.01652190206
63,41.826604,-87.6626078563,4.68365417602
64,41.826604,-87.664622372,5.0802332446
65,41.826604,-87.6666368877,5.22879495894
66,41.826604,-87.6686514034,5.13797509419
67,41.826604,-87.6706659191,5.21826647395
68,41.826604,-87.6726804348,5.78437650912
69,41.826604,-87.6746949505,5.09443716192
70,41.828104,-87.6142594796,6.35384140959
71,41.828104,-87.6162739953,5.98512851926
72,41.828104,-87.618288511,5.70499906538
73,41.828104,-87.6203030267,6.20857203817
74,41.828104,-87.6263465738,5.65758916426
75,41.828104,-87.6283610895,5.89863326141
76,41.828104,-87.6303756052,6.22333544998
77,41.828104,-87.6323901209,5.83850333157
78,41.828104,-87.6344046366,6.17852055598
79,41.828104,-87.638433668,5.97425942611
80,41.828104,-87.6404481837,5.98956103732
81,41.828104,-87.6424626994,6.148690647
82,41.828104,-87.6444772151,6.05502243931
83,41.828104,-87.6464917308,5.62025320677
84,41.828104,-87.6505207622,5.52921089571
85,41.828104,-87.6666368877,5.50446997674
86,41.828104,-87.6686514034,5.89546220899
87,41.828104,-87.6706659191,5.90255494901
88,41.828104,-87.6726804348,5.84449008336
89,41.828104,-87.6746949505,5.3146307033
90,41.828104,-87.6767094662,6.22928635075
91,41.828104,-87.6787239819,6.14590336894
92,41.829604,-87.6082159325,5.37621969056
93,41.829604,-87.6102304482,5.45017878681
94,41.829604,-87.6122449639,6.31698144409
95,41.829604,-87.6142594796,6.32702446974
96,41.829604,-87.6162739953,5.96597115121
97,41.829604,-87.618288511,5.59888297916
98,41.829604,-87.6203030267,5.73404768053
99,41.829604,-87.6223175424,5.4671954819
100,41.829604,-87.6243320581,5.86993349397
101,41.829604,-87.6263465738,6.21036900127
102,41.829604,-87.6283610895,6.10393024984
103,41.829604,-87.6303756052,5.78340202119
104,41.829604,-87.638433668,5.89698089261
105,41.829604,-87.6404481837,5.6912254473
106,41.829604,-87.6424626994,5.85569681783
107,41.829604,-87.6444772151,5.95749221669
108,41.829604,-87.6464917308,5.54671782985
109,41.829604,-87.6485062465,6.38613654694
110,41.829604,-87.6505207622,5.84981569439
111,41.829604,-87.6666368877,5.76902454753
112,41.829604,-87.6686514034,5.63750451162
113,41.829604,-87.6706659191,5.6642254401
114,41.829604,-87.6726804348,5.91549637164
115,41.829604,-87.6746949505,5.53051901677
116,41.829604,-87.6767094662,6.26538972051
117,41.829604,-87.6787239819,5.28903993468
118,41.829604,-87.6807384976,5.6190634057
119,41.829604,-87.6827530133,5.82811002354
120,41.831104,-87.6062014168,5.84098124723
121,41.831104,-87.6082159325,5.6466004174
122,41.831104,-87.6102304482,5.50711762133
123,41.831104,-87.6122449639,6.11783239082
124,41.831104,-87.6142594796,5.62987048742
125,41.831104,-87.6162739953,6.01872449547
126,41.831104,-87.618288511,5.86260859669
127,41.831104,-87.6203030267,5.76838522742
128,41.831104,-87.6223175424,5.51933316894
129,41.831104,-87.6243320581,5.50233087767
130,41.831104,-87.6263465738,6.18462592216
131,41.831104,-87.6283610895,5.59142289006
132,41.831104,-87.6303756052,5.41424409509
133,41.831104,-87.6323901209,5.47748372629
134,41.831104,-87.6344046366,5.20418785326
135,41.831104,-87.6364191523,5.04087134562
136,41.831104,-87.638433668,5.76768258443
137,41.831104,-87.6404481837,6.06532246223
138,41.831104,-87.6424626994,5.75061457501
139,41.831104,-87.6444772151,5.95810489351
140,41.831104,-87.6464917308,5.67809140864
141,41.831104,-87.6485062465,5.67261817437
142,41.831104,-87.6505207622,5.23821144932
143,41.831104,-87.6525352779,4.92355847459
144,41.831104,-87.664622372,5.60580362803
145,41.831104,-87.6666368877,6.26079067032
146,41.831104,-87.6686514034,6.01515530377
147,41.831104,-87.6706659191,5.71657589842
148,41.831104,-87.6726804348,5.49188072554
149,41.831104,-87.6746949505,5.79073070123
150,41.831104,-87.6767094662,5.63559159015
151,41.831104,-87.6787239819,6.50304401736
152,41.831104,-87.6807384976,5.92981982348
153,41.831104,-87.6827530133,6.01387396093
