source,target,value
Bay Village,Chinatown,1.70489
Allston,Riverside,1.7176
Agassiz,BROOKLINE_02445,1.73992
Mission Hill,Roxbury,1.74125
Beacon Hill,Leather District,1.7645
EVERETT_02149,Mission Hill,1.7695
Back Bay,Leather District,1.78153
Brighton,WATERTOWN_02472,1.79675
Beacon Hill,North End,1.79725
Area 2/MIT,Beacon Hill,1.79975
Allston,West Cambridge,1.8224
Cambridgeport,Roxbury,1.824885
Bay Village,Downtown,1.8331
Neighborhood Nine,West Cambridge,1.8447
MEDFORD_02155,WATERTOWN_02472,1.85605
Dorchester,EVERETT_02149,1.86336
North Cambridge,West Cambridge,1.87588
SOMERVILLE_02145,Wellington-Harrington,1.9028
North End,South Boston Waterfront,1.925335
Neighborhood Nine,North Cambridge,1.92565
East Cambridge,SOMERVILLE_02143,1.96345
EVERETT_02149,West Cambridge,1.9806
Downtown,North End,2.04627
SOMERVILLE_02143,The Port,2.055975
EVERETT_02149,WATERTOWN_02472,2.06315
Bay Village,South End,2.06405
Brighton,SOMERVILLE_02145,2.097015
SOMERVILLE_02143,SOMERVILLE_02144,2.15076
SOMERVILLE_02143,Wellington-Harrington,2.157835
Allston,EVERETT_02149,2.17755
Riverside,South End,2.194089
North Cambridge,SOMERVILLE_02143,2.2383
North Cambridge,The Port,2.2478
Beacon Hill,Downtown,2.3314
The Port,Wellington-Harrington,2.33375
North End,West End,2.3441
EVERETT_02149,SOMERVILLE_02145,2.36355
Back Bay,Chinatown,2.38285
SOMERVILLE_02143,SOMERVILLE_02145,2.3926
Allston,Area 2/MIT,2.4114
Jamaica Plain,North Cambridge,2.4701
Beacon Hill,Riverside,2.48099
MEDFORD_02155,SOMERVILLE_02145,2.484855
BROOKLINE_02445,BROOKLINE_02446,2.5022
BROOKLINE_02445,West Cambridge,2.5175
Riverside,Wellington-Harrington,2.53745
EVERETT_02149,East Boston,2.55729
North Cambridge,SOMERVILLE_02145,2.627
Cambridgeport,North Cambridge,2.7133
Chinatown,North End,2.8212
Brighton,EVERETT_02149,2.822335
South Boston,South Boston Waterfront,2.83478
Dorchester,Jamaica Plain,2.86735
Allston,WATERTOWN_02472,2.873235
East Cambridge,Wellington-Harrington,2.89915
Chinatown,South Boston Waterfront,3.312945
Bay Village,Beacon Hill,3.3176
Bay Village,North End,3.4234
Back Bay,North End,3.4483
Back Bay,Downtown,3.55665
Downtown,Leather District,3.6713
Chinatown,Downtown,3.73425
Leather District,North End,3.7627
North Cambridge,SOMERVILLE_02144,3.9351
Chinatown,Leather District,5.26853
Charlestown,EVERETT_02149,5.3982
