source,target,value
Beacon Hill,North Cambridge,0.155615
Agassiz,North End,0.16325
Mid-Cambridge,South Boston Waterfront,0.16349
Agassiz,MEDFORD_02155,0.165005
Beacon Hill,Mission Hill,0.1672985
Charlestown,WATERTOWN_02472,0.16922
Beacon Hill,EVERETT_02149,0.17184
Allston,BROOKLINE_02445,0.172045
Jamaica Plain,The Port,0.17266
Back Bay,Dorchester,0.174545
Dorchester,East Boston,0.175135
BROOKLINE_02445,West End,0.175375
Bay Village,West Cambridge,0.17543
BROOKLINE_02445,Back Bay,0.17596
Leather District,South Boston Waterfront,0.178775
East Boston,Jamaica Plain,0.179215
North Cambridge,West End,0.182785
BROOKLINE_02446,East Cambridge,0.18279
Agassiz,East Cambridge,0.18471
Dorchester,East Cambridge,0.185025
Downtown,SOMERVILLE_02144,0.186445
North End,SOMERVILLE_02143,0.18756
MEDFORD_02155,Neighborhood Nine,0.1893
Allston,The Port,0.18932
Dorchester,South End,0.18984
Downtown,Mid-Cambridge,0.190683
Brighton,Charlestown,0.190755
Downtown,The Port,0.19224
Agassiz,SOMERVILLE_02145,0.19257
Mid-Cambridge,South Boston,0.194185
Bay Village,EVERETT_02149,0.19873
Downtown,East Cambridge,0.199166
MEDFORD_02155,Riverside,0.200075
South End,West Cambridge,0.202515
Longwood Medical Area,WATERTOWN_02472,0.202585
South End,The Port,0.203585
Leather District,Longwood Medical Area,0.204305
Back Bay,North Cambridge,0.20528
South Boston,South End,0.20564
Charlestown,Fenway,0.20709
Jamaica Plain,South Boston Waterfront,0.20755
Downtown,Neighborhood Nine,0.20761
BROOKLINE_02446,MEDFORD_02155,0.210875
Charlestown,South End,0.210875
Beacon Hill,MEDFORD_02155,0.211005
Mission Hill,Neighborhood Nine,0.217445
Dorchester,North End,0.21843
Leather District,South End,0.21967
BROOKLINE_02446,Leather District,0.21987
North Cambridge,South End,0.220488
SOMERVILLE_02144,South Boston,0.220505
EVERETT_02149,Longwood Medical Area,0.22349
Agassiz,Cambridgeport,0.224565
Mid-Cambridge,Roxbury,0.22675
BROOKLINE_02446,South Boston,0.228265
East Cambridge,SOMERVILLE_02144,0.22897
Chinatown,Neighborhood Nine,0.230215
Roxbury,West End,0.234075
Fenway,SOMERVILLE_02144,0.2341435
Dorchester,Longwood Medical Area,0.234485
Neighborhood Nine,SOMERVILLE_02145,0.23605
Chinatown,Mission Hill,0.240785
Allston,South End,0.242235
BROOKLINE_02445,Riverside,0.243785
Dorchester,Downtown,0.24505
North Cambridge,Roxbury,0.24528
Beacon Hill,Longwood Medical Area,0.246685
SOMERVILLE_02145,South End,0.247333
MEDFORD_02155,West End,0.247665
Brighton,Mission Hill,0.251175
Neighborhood Nine,North End,0.252225
Back Bay,WATERTOWN_02472,0.254275
Bay Village,South Boston,0.2544
Agassiz,Roxbury,0.25604
Bay Village,Longwood Medical Area,0.25651
Agassiz,Longwood Medical Area,0.259605
Agassiz,Bay Village,0.26036
Area 2/MIT,East Boston,0.261255
Jamaica Plain,Leather District,0.262355
BROOKLINE_02445,South End,0.26581
South Boston Waterfront,The Port,0.2665
Back Bay,South Boston,0.26775
Longwood Medical Area,West Cambridge,0.27014
BROOKLINE_02445,South Boston,0.27134
Allston,East Boston,0.2735
Mid-Cambridge,The Port,0.274165
Mid-Cambridge,SOMERVILLE_02144,0.27459
Jamaica Plain,Wellington-Harrington,0.276152
Agassiz,Jamaica Plain,0.27764
BROOKLINE_02446,North End,0.279296
Chinatown,Dorchester,0.2798945
Bay Village,Brighton,0.280745
BROOKLINE_02445,North End,0.28132
Allston,Back Bay,0.28415
BROOKLINE_02445,EVERETT_02149,0.287275
Charlestown,Jamaica Plain,0.288605
EVERETT_02149,Fenway,0.289005
Charlestown,Longwood Medical Area,0.2901
East Cambridge,Roxbury,0.290659
Longwood Medical Area,South Boston,0.290935
Roxbury,Wellington-Harrington,0.291565
Riverside,South Boston Waterfront,0.293425
BROOKLINE_02446,EVERETT_02149,0.294325
Agassiz,EVERETT_02149,0.295925
The Port,WATERTOWN_02472,0.29636
Beacon Hill,SOMERVILLE_02145,0.296605
Chinatown,Wellington-Harrington,0.30018
BROOKLINE_02445,The Port,0.30391
Charlestown,Neighborhood Nine,0.30483
Fenway,Jamaica Plain,0.3070755
Charlestown,West End,0.308185
Area 2/MIT,South Boston,0.312775
East Boston,The Port,0.314065
Agassiz,South Boston Waterfront,0.314795
Neighborhood Nine,The Port,0.31528
Downtown,EVERETT_02149,0.315715
Neighborhood Nine,Roxbury,0.3178
SOMERVILLE_02144,South Boston Waterfront,0.32337
Chinatown,The Port,0.324405
BROOKLINE_02445,Mid-Cambridge,0.324415
MEDFORD_02155,South Boston Waterfront,0.33385
Fenway,South Boston Waterfront,0.3348545
