,fsz,lat,lng,rm,sz,url,use,val,yr,price
396,890,42.34406,-71.15379,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=99+Chestnut+Hill&citystatezip=02135,MultiFamily2To4,468862,1924,"$599,000"
397,1425,42.342509,-71.083295,6,1425,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=15+Albemarle+St&citystatezip=02115,Condominium,1061806,1900,"$999,000"
398,1492,42.337269,-71.075844,4,1492,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=1690+Washington+St&citystatezip=02118,Condominium,972692,1910,"$979,000"
399,1069,42.357031,-71.059969,3,1069,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=45+Province+St&citystatezip=02108,Condominium,1145144,2009,"$1,325,000"
403,750,42.357674,-71.050501,3,880,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=65+E+India&citystatezip=02110,Condominium,722150,1972,"$850,000"
404,3477,42.331991,-71.038936,17,3750,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=539+E+7th&citystatezip=02127,Condominium,1249287,1899,"$649,999"
405,1588,42.341518,-71.081336,5,1588,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=1+Wellington+St&citystatezip=02118,Condominium,1541246,1910,"$1,300,000"
406,2836,42.350633,-71.057168,6,2836,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=134+Beach+St&citystatezip=02111,Apartment,,1900,"$1,627,500"
408,2000,42.332451,-71.028787,8,1797,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=794+E+7th&citystatezip=02127,Condominium,1172470,2000,"$849,900"
409,1674,42.271572,-71.148042,8,3920,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=41+Alleyne+St&citystatezip=02132,SingleFamily,531219,1925,"$488,900"
