,fsz,lat,lng,rm,sz,url,use,val,yr,price
10,1926,42.333774,-71.036849,11,1045,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=587+E+5th&citystatezip=02127,Duplex,711434,1890,
11,399,42.343083,-71.103753,2,399,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=116+Riverway+APT&citystatezip=02215,Condominium,342145,1918,"$319,900"
12,598,42.303811,-71.116252,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=39+Hampstead+Rd&citystatezip=02130,Townhouse,423774,1986,"$239,900"
13,600,42.327227,-71.108202,3,600,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=240+Heath+St&citystatezip=02130,Condominium,299462,1910,"$319,900"
14,1578,42.344594,-71.064406,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=40+Traveler+St&citystatezip=02118,Condominium,1901456,,"$729,000"
15,,42.34943,-71.13229,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=1258+Commonwealth+Ave&citystatezip=02134,MultiFamily2To4,289873,1920,"$425,000"
16,760,42.339447,-71.080154,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=777+Tremont+St&citystatezip=02118,MultiFamily2To4,971530,,"$439,900"
17,1209,42.27354,-71.147425,6,6534,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=49+Partridge+St&citystatezip=02132,SingleFamily,409455,1950,"$499,900"
18,3965,42.355358,-71.131156,,2178,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=15A+Linden+St&citystatezip=02134,MultiFamily2To4,1451474,1900,"$1,750,000"
19,2031,42.287465,-71.063176,9,3049,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=13+Wrentham+St&citystatezip=02124,SingleFamily,354584,1897,"$449,999"
20,1729,42.373195,-71.064762,7,1729,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=33+Washington+St&citystatezip=02129,Condominium,1146956,1870,"$579,000"
21,2076,42.31954,-71.080334,10,3049,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=16+Woodbine+St&citystatezip=02119,MultiFamily2To4,387310,1900,"$399,000"
22,922,42.376068,-71.039183,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=250+Meridian+St&citystatezip=02128,Condominium,377044,2016,"$475,000"
23,1819,42.26948,-71.09533,10,6098,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=56+Rexford+St&citystatezip=02126,SingleFamily,358991,1900,"$359,000"
24,1308,42.35043,-71.05703,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=119+Beach+St&citystatezip=02111,MultiFamily5Plus,,1913,"$995,000"
25,1030,42.345577,-71.141085,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=1518+Commonwealth+Ave&citystatezip=02135,Unknown,526225,1930,"$409,000"
26,1151,42.314373,-71.055694,,1151,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=18+Hallam+St&citystatezip=02125,Condominium,423933,1905,"$409,000"
27,815,42.35382,-71.07824,3,673,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=235+Beacon+St&citystatezip=02116,Condominium,779016,1920,"$779,000"
28,900,42.383333,-71.070579,3,435,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=4+Short+Street&citystatezip=02129,SingleFamily,436938,1885,"$449,000"
29,1107,42.246778,-71.113791,6,6534,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=69+Prospect+St&citystatezip=02136,SingleFamily,391232,1946,"$424,900"
30,1141,42.367382,-71.053163,5,1141,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=440+Commercial+St&citystatezip=02109,Condominium,896346,1920,"$875,000"
31,,,,,,,,,,"$875,000"
32,2019,42.331963,-71.039659,10,1140,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=182+I+St&citystatezip=02127,Duplex,830249,1865,"$579,000"
33,,42.295407,-71.115027,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=9+Varney+St&citystatezip=02130,Condominium,520861,,"$275,000"
34,900,42.329816,-71.091694,15,1691,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=2+Centre+Street&citystatezip=02119,MultiFamily2To4,519186,1905,"$260,000"
35,1920,42.277256,-71.145725,6,5227,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=40+Robin+St&citystatezip=02132,SingleFamily,651892,1920,"$699,900"
36,,42.3345,-71.0487,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=283+Bowen+St&citystatezip=02127,Condominium,533113,1890,"$519,000"
37,1387,42.277072,-71.087046,6,5662,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=31+Banfield+Ave&citystatezip=02126,SingleFamily,283063,1940,"$270,000"
38,510,42.341305,-71.080784,3,510,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=552+Columbus+Ave&citystatezip=02118,Condominium,469849,1910,"$739,900"
39,1599,42.34798,-71.07868,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=1+Huntington+Ave&citystatezip=02116,MultiFamily2To4,2627717,1999,"$549,000"
40,1020,42.375327,-71.058563,4,1020,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=38+Mount+Vernon&citystatezip=02129,Condominium,812768,1900,"$949,000"
41,705,42.36215,-71.052544,4,705,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=142+Commercial+St&citystatezip=02109,Condominium,588419,1856,"$650,000"
42,935,42.34703,-71.13847,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=194+Allston+St&citystatezip=02134,Townhouse,711304,,"$450,000"
43,710,42.35094,-71.08903,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=479+Beacon+St&citystatezip=02115,Condominium,638024,,"$799,000"
44,1676,42.335974,-71.049031,6,2178,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=104+F+St&citystatezip=02127,SingleFamily,923563,1890,"$889,000"
45,1808,42.28495,-71.166246,7,6534,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=161+Perham+St&citystatezip=02132,SingleFamily,507035,1910,"$599,900"
46,791,42.339385,-71.081382,3,791,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=257+Northampton+St&citystatezip=02118,Condominium,608799,2011,"$539,500"
47,1364,42.345039,-71.070299,3,1364,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=505+Tremont+St&citystatezip=02116,Condominium,1880009,2004,"$1,925,000"
48,960,42.343637,-71.066089,2,960,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=1140+Washington+St&citystatezip=02118,Condominium,762630,1910,"$775,000"
49,1017,42.34828,-71.10659,4,1017,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=120+Mountfort+St&citystatezip=02215,Unknown,,2004,"$1,199,000"
50,5237,42.279108,-71.089893,18,13797,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=515+Norfolk+St&citystatezip=02126,MultiFamily5Plus,,1905,"$750,000"
51,896,42.342624,-71.070709,4,871,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=11+Union+Park&citystatezip=02118,Condominium,783288,1899,"$719,000"
52,4168,42.335045,-71.032922,10,6534,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=770+E+4th&citystatezip=02127,SingleFamily,1349277,1890,"$799,900"
53,1792,42.278725,-71.153295,7,6098,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=34+Linnet+St&citystatezip=02132,SingleFamily,687007,1937,"$675,000"
54,2200,42.35622,-71.05941,,30149,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=1+Franklin+St&citystatezip=02110,Condominium,3544492,2015,"$3,950,000"
55,2997,42.311142,-71.118489,14,4227,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=67+Dunster+Rd&citystatezip=02130,Duplex,1309980,1910,"$725,000"
56,2997,42.311075,-71.118924,,8276,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=12+Dane+St&citystatezip=02130,MultiFamily2To4,,1910,"$725,000"
57,2476,42.284877,-71.134327,12,5000,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=50+Pinehurst+St&citystatezip=02131,Triplex,590188,1900,"$299,000"
58,2071,42.319364,-71.109777,9,2071,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=47+Oakview+Ter&citystatezip=02130,Condominium,870305,1905,"$775,000"
59,,42.35016,-71.13368,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=43+Glenville+Ave&citystatezip=02134,MultiFamily2To4,255863,,"$335,000"
60,1050,42.311545,-71.060654,5,4214,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=23+Downer+Ave&citystatezip=02125,Condominium,518411,2016,"$529,000"
61,655,42.377683,-71.059851,11,1250,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=19+Monument+St&citystatezip=02129,MultiFamily2To4,660166,1800,"$699,000"
62,3463,42.288551,-71.135635,,6534,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=909+South+St&citystatezip=02131,MultiFamily2To4,734126,,"$319,000"
64,2000,42.337398,-71.034808,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=720+E+2nd&citystatezip=02127,Condominium,1265574,2012,"$1,049,000"
65,1105,42.280199,-71.131377,,1291,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=152+Kittredge+St&citystatezip=02131,Condominium,346654,1950,"$350,000"
66,1400,42.3521,-71.05805,3,761,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=70+Lincoln+St&citystatezip=02111,MultiFamily2To4,792183,1920,"$620,000"
67,1747,42.348757,-71.062971,,37865,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=1+Nassau+St&citystatezip=02111,Apartment,,2002,"$1,099,000"
68,1965,42.315162,-71.101137,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=17+Dalrymple+St&citystatezip=02130,Condominium,720410,,"$399,000"
69,1665,42.277425,-71.132754,8,3049,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=124+Cornell+St&citystatezip=02131,SingleFamily,419157,1905,"$489,000"
70,725,42.343193,-71.077125,3,725,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=133+Pembroke+St&citystatezip=02118,Condominium,655105,1899,"$645,000"
71,2800,42.27843,-71.133314,12,6098,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=249+251+Kittredge&citystatezip=02131,MultiFamily2To4,563923,1938,
72,1781,42.275679,-71.099922,9,3986,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=100+Itasca+St&citystatezip=02126,SingleFamily,355315,1950,"$379,000"
73,1002,42.34736,-71.05025,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=21+Wormwood+St&citystatezip=02210,Apartment,654020,,"$2,195,000"
74,2000,42.354405,-71.127261,9,1853,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=41+Ashford+St&citystatezip=02134,Townhouse,656985,1988,"$699,000"
75,1129,42.296388,-71.115086,6,1129,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=28+Wenham+St&citystatezip=02130,Condominium,409436,1910,"$439,000"
77,3330,42.285882,-71.082897,12,2754,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=12+Jacob+St&citystatezip=02124,Condominium,536575,1933,"$205,000"
78,6543,42.351127,-71.149405,14,6534,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=15+Sparhawk+St&citystatezip=02135,MultiFamily2To4,,2016,"$649,000"
81,550,42.30556,-71.124454,3,548,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=1010+Centre+St&citystatezip=02130,Condominium,291489,1885,"$269,990"
82,2157,42.316139,-71.099301,10,3484,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=12+Atherton+St&citystatezip=02119,MultiFamily2To4,529367,1900,"$649,000"
85,3300,42.255913,-71.127147,12,5500,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=14+Linwood+St&citystatezip=02136,MultiFamily2To4,498227,1860,"$650,000"
87,660,42.343871,-71.146941,4,660,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=57+Colborne+Rd&citystatezip=02135,Condominium,332346,1963,"$379,900"
88,2700,42.287921,-71.152776,9,4791,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=46+Willow+St&citystatezip=02132,SingleFamily,571231,1900,"$749,900"
89,680,42.343139,-71.077102,3,645,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=131+Pembroke+St&citystatezip=02118,MultiFamily2To4,651115,1899,"$1,169,000"
90,1400,42.266524,-71.164377,6,3049,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=115+Glenellen+Rd&citystatezip=02132,SingleFamily,408811,1960,"$479,000"
91,2200,42.305319,-71.107728,12,1721,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=14+Rossmore+Rd&citystatezip=02130,MultiFamily2To4,646339,1885,"$629,000"
92,351,42.343603,-71.141535,2,351,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=315+Allston+St&citystatezip=02135,Condominium,211339,1920,"$299,995"
93,1722,42.330831,-71.034222,9,1738,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=122+Marine+Rd&citystatezip=02127,SingleFamily,580113,1905,"$725,000"
94,1153,42.348713,-71.070305,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=99+105+Broad&citystatezip=02110,MultiFamily5Plus,,,"$959,000"
95,908,42.296337,-71.07412,4,1603,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=3+Champlain+Cir&citystatezip=02124,SingleFamily,248415,1984,"$257,000"
96,2767,42.273735,-71.090591,12,3920,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=18+Crossman+St&citystatezip=02126,MultiFamily2To4,435772,1935,"$490,000"
97,1360,42.286952,-71.169877,7,3920,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=28+Lasell+St&citystatezip=02132,SingleFamily,474588,1936,"$460,000"
98,2604,42.33505,-71.03251,10,3125,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=776+E+4th&citystatezip=02127,Duplex,1010708,1905,"$1,099,000"
99,3924,42.306319,-71.064052,18,3484,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=35+Fox+St&citystatezip=02122,MultiFamily2To4,608361,1905,
100,1325,42.342102,-71.057312,5,2025,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=141+Dorchester+Ave&citystatezip=02127,Condominium,1951753,2007,"$1,500,000"
101,2275,42.315015,-71.055199,9,2050,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=37+Belfort+St&citystatezip=02125,SingleFamily,516253,1905,"$629,000"
102,626,42.339859,-71.049133,4,626,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=261+W+2nd&citystatezip=02127,Condominium,432397,1905,"$574,900"
105,564,42.3813,-71.0674,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=332+Bunker+Hill&citystatezip=02129,Condominium,476056,1870,"$449,000"
107,1311,42.35651,-71.16584,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=142+Bigelow+St&citystatezip=02135,MultiFamily2To4,498654,2006,"$609,900"
108,1460,42.328102,-71.105026,4,1460,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=119+Fisher+Ave&citystatezip=02120,Condominium,663779,2012,"$624,000"
109,1927,42.276878,-71.135446,6,9522,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=429+Beech+St&citystatezip=02131,SingleFamily,481246,1925,"$449,900"
110,3322,42.282578,-71.083953,15,2613,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=29+31+Corbet&citystatezip=02124,MultiFamily2To4,448498,1905,"$565,000"
111,733,42.343265,-71.065925,2,733,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=35+Fay+St&citystatezip=02118,MultiFamily2To4,548727,2006,"$419,000"
112,1872,42.271004,-71.089742,11,6098,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=16+Mamelon+Cir&citystatezip=02126,MultiFamily2To4,343092,1950,"$469,000"
113,3410,42.357405,-71.0709,10,3484,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=9+Lime+St&citystatezip=02108,SingleFamily,4301998,1880,"$5,499,000"
117,755,42.353693,-71.075743,4,755,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=85+Marlborough+St&citystatezip=02116,Condominium,706992,1885,"$849,000"
118,3885,42.292962,-71.073285,15,2681,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=23+Dunlap+St&citystatezip=02124,MultiFamily2To4,525738,1900,"$599,000"
119,1180,42.355181,-71.073359,6,1180,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=109+Beacon+St&citystatezip=02116,Condominium,1097013,1865,"$1,275,000"
120,2297,42.345836,-71.079734,7,2297,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=63+Saint+Botolph&citystatezip=02116,Condominium,2358621,1880,"$2,295,000"
121,950,42.34262,-71.09509,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=61+Park+Dr&citystatezip=02215,MultiFamily2To4,486809,1930,"$599,000"
123,1680,42.273837,-71.148505,7,5227,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=64+Cowing+St&citystatezip=02132,SingleFamily,543216,1928,"$549,000"
124,1508,42.276357,-71.073379,7,5205,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=45+Ellison+Ave&citystatezip=02126,SingleFamily,401416,1925,"$485,000"
125,580,42.345958,-71.073398,4,580,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=24+Lawrence+St&citystatezip=02116,Condominium,499738,1873,"$889,000"
126,2103,42.345809,-71.05127,6,99999,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=25+Channel+Ctr&citystatezip=02210,Condominium,1450997,2004,"$1,295,000"
127,863,42.338851,-71.047386,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=321+W+2nd&citystatezip=02127,Condominium,512471,2005,"$669,000"
128,350,42.343273,-71.107422,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=466+Commonwealth+Ave&citystatezip=02215,SingleFamily,955274,,"$709,000"
129,1600,42.300197,-71.142112,7,7405,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=61+Hackensack+Rd&citystatezip=02132,SingleFamily,681092,1950,"$688,000"
130,1633,42.35822,-71.05048,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=85+E+India&citystatezip=02110,Condominium,,1972,"$1,650,000"
131,800,42.33922,-71.1562,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=1949+Commonwealth+Ave&citystatezip=02135,MultiFamily5Plus,,,"$329,500"
132,620,42.3395,-71.1581,4,620,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=1945+Commonwealth+Ave&citystatezip=02135,MultiFamily5Plus,294367,,"$325,000"
133,729,42.320844,-71.116547,4,871,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=332+Jamaicaway+APT&citystatezip=02130,Condominium,367148,1920,"$399,000"
134,1836,42.285804,-71.171826,7,6969,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=952+Vfw+Pkwy&citystatezip=02132,SingleFamily,600305,1987,"$549,000"
135,1,42.367462,-71.03677,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=307+Sumner+St&citystatezip=02128,Condominium,519363,,"$554,000"
136,2070,42.37397,-71.05173,,,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=197+8th+St&citystatezip=02129,MultiFamily2To4,1351418,,"$859,000"
137,3905,42.345372,-71.074755,10,1560,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=81+Dartmouth+St&citystatezip=02116,Triplex,3050610,1890,"$540,000"
138,1274,42.286254,-71.163869,6,5490,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=611+Lagrange+St&citystatezip=02132,SingleFamily,413158,1915,"$459,900"
139,614,42.343305,-71.072963,3,614,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=587+Tremont+St&citystatezip=02118,Condominium,592330,1899,"$1,399,000"
140,942,42.343105,-71.069747,4,942,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=7+Ringold+St&citystatezip=02118,Condominium,984038,1890,"$1,175,000"
141,1491,42.333167,-71.078648,4,1491,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=43+Thorndike+St&citystatezip=02118,Condominium,571377,2000,"$379,000"
142,3800,42.316249,-71.115844,8,10454,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=35+Goodrich+Rd&citystatezip=02130,MultiFamily2To4,1212515,1926,"$999,999"
143,1614,42.3666,-71.0513,,1620,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=4+Battery+Wharf&citystatezip=02109,Condominium,1796741,2008,"$1,995,000"
144,1912,42.379371,-71.063395,10,2613,http://www.zillow.com/webservice/GetDeepSearchResults.htm?zws-id=X1-ZWz1f9f43srdhn_5b1bv&address=235+Bunker+Hill&citystatezip=02129,SingleFamily,1647283,2010,"$1,100,000"
