,lat,lng
0,1.295876,103.776059025
1,1.297376,103.776059025
2,1.298876,103.776059025
3,1.300376,103.776059025
4,1.301876,103.776059025
5,1.303376,103.776059025
6,1.304876,103.776059025
7,1.306376,103.776059025
8,1.307876,103.776059025
9,1.309376,103.776059025
10,1.288376,103.777559413
11,1.289876,103.777559413
12,1.291376,103.777559413
13,1.292876,103.777559413
14,1.294376,103.777559413
15,1.295876,103.777559413
16,1.297376,103.777559413
17,1.298876,103.777559413
18,1.300376,103.777559413
19,1.301876,103.777559413
20,1.303376,103.777559413
21,1.304876,103.777559413
22,1.306376,103.777559413
23,1.307876,103.777559413
24,1.309376,103.777559413
25,1.310876,103.777559413
26,1.312376,103.777559413
27,1.313876,103.777559413
28,1.315376,103.777559413
29,1.316876,103.777559413
30,1.283876,103.779059801
31,1.285376,103.779059801
32,1.286876,103.779059801
33,1.288376,103.779059801
34,1.289876,103.779059801
35,1.291376,103.779059801
36,1.292876,103.779059801
37,1.294376,103.779059801
38,1.295876,103.779059801
39,1.297376,103.779059801
40,1.298876,103.779059801
41,1.300376,103.779059801
42,1.301876,103.779059801
43,1.303376,103.779059801
44,1.304876,103.779059801
45,1.306376,103.779059801
46,1.307876,103.779059801
47,1.309376,103.779059801
48,1.310876,103.779059801
49,1.312376,103.779059801
50,1.313876,103.779059801
51,1.315376,103.779059801
52,1.316876,103.779059801
53,1.318376,103.779059801
54,1.319876,103.779059801
55,1.321376,103.779059801
56,1.280876,103.780560188
57,1.282376,103.780560188
58,1.283876,103.780560188
59,1.285376,103.780560188
60,1.286876,103.780560188
61,1.288376,103.780560188
62,1.289876,103.780560188
63,1.291376,103.780560188
64,1.292876,103.780560188
65,1.294376,103.780560188
66,1.295876,103.780560188
67,1.297376,103.780560188
68,1.298876,103.780560188
69,1.300376,103.780560188
70,1.301876,103.780560188
71,1.303376,103.780560188
72,1.304876,103.780560188
73,1.306376,103.780560188
74,1.307876,103.780560188
75,1.309376,103.780560188
76,1.310876,103.780560188
77,1.312376,103.780560188
78,1.313876,103.780560188
79,1.315376,103.780560188
80,1.316876,103.780560188
81,1.318376,103.780560188
82,1.319876,103.780560188
83,1.321376,103.780560188
84,1.322876,103.780560188
85,1.324376,103.780560188
86,1.277876,103.782060576
87,1.279376,103.782060576
88,1.280876,103.782060576
89,1.282376,103.782060576
90,1.283876,103.782060576
91,1.285376,103.782060576
92,1.286876,103.782060576
93,1.288376,103.782060576
94,1.289876,103.782060576
95,1.291376,103.782060576
96,1.292876,103.782060576
97,1.294376,103.782060576
98,1.295876,103.782060576
99,1.297376,103.782060576
100,1.298876,103.782060576
101,1.300376,103.782060576
102,1.301876,103.782060576
103,1.303376,103.782060576
104,1.304876,103.782060576
105,1.306376,103.782060576
106,1.307876,103.782060576
107,1.309376,103.782060576
108,1.310876,103.782060576
109,1.312376,103.782060576
110,1.313876,103.782060576
111,1.315376,103.782060576
