lat,lng
35.674226,139.690606
35.675726,139.690606
35.677226,139.690606
35.678726,139.690606
35.680226,139.690606
35.681726,139.690606
35.683226,139.690606
35.684726,139.690606
35.686226,139.690606
35.687726,139.690606
35.689226,139.690606
35.690726,139.690606
35.692226,139.690606
35.693726,139.690606
35.695226,139.690606
35.668226,139.6924527
35.669726,139.6924527
35.671226,139.6924527
35.672726,139.6924527
35.674226,139.6924527
35.675726,139.6924527
35.677226,139.6924527
35.678726,139.6924527
35.680226,139.6924527
35.681726,139.6924527
35.683226,139.6924527
35.684726,139.6924527
35.686226,139.6924527
35.687726,139.6924527
35.689226,139.6924527
35.690726,139.6924527
35.692226,139.6924527
35.693726,139.6924527
35.695226,139.6924527
35.696726,139.6924527
35.698226,139.6924527
35.699726,139.6924527
35.663726,139.6942994
35.665226,139.6942994
35.666726,139.6942994
35.668226,139.6942994
35.669726,139.6942994
35.671226,139.6942994
35.672726,139.6942994
35.674226,139.6942994
35.675726,139.6942994
35.677226,139.6942994
35.678726,139.6942994
35.680226,139.6942994
35.681726,139.6942994
35.683226,139.6942994
35.684726,139.6942994
35.686226,139.6942994
35.687726,139.6942994
35.689226,139.6942994
35.690726,139.6942994
35.692226,139.6942994
35.693726,139.6942994
35.695226,139.6942994
35.696726,139.6942994
35.698226,139.6942994
35.699726,139.6942994
35.701226,139.6942994
35.702726,139.6942994
35.704226,139.6942994
35.660726,139.6961462
35.662226,139.6961462
35.663726,139.6961462
35.665226,139.6961462
35.666726,139.6961462
35.668226,139.6961462
35.669726,139.6961462
35.671226,139.6961462
35.672726,139.6961462
35.674226,139.6961462
35.675726,139.6961462
35.677226,139.6961462
35.678726,139.6961462
35.680226,139.6961462
35.681726,139.6961462
35.683226,139.6961462
35.684726,139.6961462
35.686226,139.6961462
35.687726,139.6961462
35.689226,139.6961462
35.690726,139.6961462
35.692226,139.6961462
35.693726,139.6961462
35.695226,139.6961462
35.696726,139.6961462
35.698226,139.6961462
35.699726,139.6961462
35.701226,139.6961462
35.702726,139.6961462
35.704226,139.6961462
35.705726,139.6961462
35.707226,139.6961462
35.657726,139.6979929
35.659226,139.6979929
35.660726,139.6979929
35.662226,139.6979929
35.663726,139.6979929
35.665226,139.6979929
35.666726,139.6979929
35.668226,139.6979929
35.669726,139.6979929
35.671226,139.6979929
35.672726,139.6979929
35.674226,139.6979929
35.675726,139.6979929
35.677226,139.6979929
35.678726,139.6979929
35.680226,139.6979929
35.681726,139.6979929
35.683226,139.6979929
35.684726,139.6979929
35.686226,139.6979929
35.687726,139.6979929
35.689226,139.6979929
35.690726,139.6979929
35.692226,139.6979929
35.693726,139.6979929
35.695226,139.6979929
35.696726,139.6979929
35.698226,139.6979929
35.699726,139.6979929
35.701226,139.6979929
35.702726,139.6979929
35.704226,139.6979929
35.705726,139.6979929
35.707226,139.6979929
35.708726,139.6979929
35.710226,139.6979929
35.656226,139.6998396
35.657726,139.6998396
35.659226,139.6998396
35.660726,139.6998396
35.662226,139.6998396
35.663726,139.6998396
35.665226,139.6998396
35.666726,139.6998396
35.668226,139.6998396
35.669726,139.6998396
35.671226,139.6998396
35.672726,139.6998396
35.674226,139.6998396
35.675726,139.6998396
35.677226,139.6998396
35.678726,139.6998396
35.680226,139.6998396
35.681726,139.6998396
35.683226,139.6998396
35.684726,139.6998396
35.686226,139.6998396
35.687726,139.6998396
35.689226,139.6998396
35.690726,139.6998396
35.692226,139.6998396
35.693726,139.6998396
35.695226,139.6998396
35.696726,139.6998396
35.698226,139.6998396
35.699726,139.6998396
35.701226,139.6998396
35.702726,139.6998396
35.704226,139.6998396
35.705726,139.6998396
35.707226,139.6998396
35.708726,139.6998396
35.710226,139.6998396
35.711726,139.6998396
35.713226,139.6998396
35.653226,139.7016864
35.654726,139.7016864
35.656226,139.7016864
35.657726,139.7016864
35.659226,139.7016864
35.660726,139.7016864
35.662226,139.7016864
35.663726,139.7016864
35.665226,139.7016864
35.666726,139.7016864
35.668226,139.7016864
35.669726,139.7016864
35.671226,139.7016864
35.672726,139.7016864
35.674226,139.7016864
35.675726,139.7016864
35.677226,139.7016864
35.678726,139.7016864
35.680226,139.7016864
35.681726,139.7016864
35.683226,139.7016864
35.684726,139.7016864
35.686226,139.7016864
35.687726,139.7016864
35.689226,139.7016864
35.690726,139.7016864
35.692226,139.7016864
35.693726,139.7016864
35.695226,139.7016864
35.696726,139.7016864
35.698226,139.7016864
35.699726,139.7016864
35.701226,139.7016864
35.702726,139.7016864
35.704226,139.7016864
35.705726,139.7016864
35.707226,139.7016864
35.708726,139.7016864
35.710226,139.7016864
35.711726,139.7016864
35.713226,139.7016864
35.714726,139.7016864
35.651726,139.7035331
35.653226,139.7035331
35.654726,139.7035331
35.656226,139.7035331
35.657726,139.7035331
35.659226,139.7035331
35.660726,139.7035331
35.662226,139.7035331
35.663726,139.7035331
35.665226,139.7035331
35.666726,139.7035331
35.668226,139.7035331
35.669726,139.7035331
35.671226,139.7035331
35.672726,139.7035331
35.674226,139.7035331
35.675726,139.7035331
35.677226,139.7035331
35.678726,139.7035331
35.680226,139.7035331
35.681726,139.7035331
35.683226,139.7035331
35.684726,139.7035331
35.686226,139.7035331
35.687726,139.7035331
35.689226,139.7035331
35.690726,139.7035331
35.692226,139.7035331
35.693726,139.7035331
35.695226,139.7035331
35.696726,139.7035331
35.698226,139.7035331
35.699726,139.7035331
35.701226,139.7035331
35.702726,139.7035331
35.704226,139.7035331
35.705726,139.7035331
35.707226,139.7035331
35.708726,139.7035331
35.710226,139.7035331
35.711726,139.7035331
35.713226,139.7035331
35.714726,139.7035331
35.716226,139.7035331
35.717726,139.7035331
35.650226,139.7053799
35.651726,139.7053799
35.653226,139.7053799
35.654726,139.7053799
35.656226,139.7053799
35.657726,139.7053799
35.659226,139.7053799
35.660726,139.7053799
35.662226,139.7053799
35.663726,139.7053799
35.665226,139.7053799
35.666726,139.7053799
35.668226,139.7053799
35.669726,139.7053799
35.671226,139.7053799
35.672726,139.7053799
35.674226,139.7053799
35.675726,139.7053799
35.677226,139.7053799
35.678726,139.7053799
35.680226,139.7053799
35.681726,139.7053799
35.683226,139.7053799
35.684726,139.7053799
35.686226,139.7053799
35.687726,139.7053799
35.689226,139.7053799
35.690726,139.7053799
35.692226,139.7053799
35.693726,139.7053799
35.695226,139.7053799
35.696726,139.7053799
35.698226,139.7053799
35.699726,139.7053799
35.701226,139.7053799
35.702726,139.7053799
35.704226,139.7053799
35.705726,139.7053799
35.707226,139.7053799
35.708726,139.7053799
35.710226,139.7053799
35.711726,139.7053799
35.713226,139.7053799
35.714726,139.7053799
35.716226,139.7053799
35.717726,139.7053799
35.719226,139.7053799
35.647226,139.7072266
