OBJECTID,POSTCODE,PC_NAME,city,label,lat,lng
2272,2445,BROOKLINE,MA,BROOKLINE_02445,42.33356518,-71.11213713
2273,,,Boston,Mission Hill,42.33246221,-71.09764493
2274,,,Boston,Mission Hill,42.33122419,-71.10607546
2275,,,Boston,Mission Hill,42.33143125,-71.1092956
2276,,,Boston,Mission Hill,42.32885596,-71.10243903
2277,,,Boston,Mission Hill,42.32836501,-71.10388112
2278,,,Boston,Mission Hill,42.33072125,-71.11007995
2279,,,Boston,Mission Hill,42.3338492,-71.10073785
2280,,,Boston,Mission Hill,42.33172937,-71.10611659
2281,,,Boston,Mission Hill,42.32872655,-71.10778454
2282,,,Boston,Mission Hill,42.33047059,-71.1010171
2283,,,Boston,Mission Hill,42.33300697,-71.10248865
2284,,,Boston,Mission Hill,42.3302774,-71.10529086
2285,,,Boston,Mission Hill,42.33099996,-71.09878746
2286,2445,BROOKLINE,MA,BROOKLINE_02445,42.33536618,-71.11075562
2287,,,Boston,Mission Hill,42.33582519,-71.0994528
2288,2445,BROOKLINE,MA,BROOKLINE_02445,42.33405979,-71.11134409
2289,,,Boston,Mission Hill,42.32963588,-71.10546894
2290,,,Boston,Mission Hill,42.32993653,-71.09985559
2291,,,Boston,Mission Hill,42.33046444,-71.10557978
2292,,,Boston,Mission Hill,42.3291459,-71.10465282
2293,,,Boston,Mission Hill,42.33409846,-71.0946777
2294,,,Boston,Mission Hill,42.32710169,-71.09982536
2295,,,Boston,Mission Hill,42.33177518,-71.09881571
2296,,,Boston,Mission Hill,42.32894874,-71.10079513
2297,,,Boston,Mission Hill,42.33029676,-71.10994681
2298,,,Boston,Mission Hill,42.32769052,-71.09777753
2299,,,Boston,Mission Hill,42.32935553,-71.10925088
2300,,,Boston,Mission Hill,42.33394714,-71.10472807
2301,,,Boston,Mission Hill,42.32963797,-71.09678981
2302,,,Boston,Jamaica Plain,42.32645643,-71.09934469
2303,,,Boston,Mission Hill,42.33521727,-71.10189128
2304,,,Boston,Mission Hill,42.33014507,-71.11121189
2305,,,Boston,Mission Hill,42.33204761,-71.10241791
2306,,,Boston,Mission Hill,42.33350944,-71.1108732
2307,,,Boston,Mission Hill,42.33123759,-71.09717273
2308,,,Boston,Mission Hill,42.32770018,-71.09936354
2309,,,Boston,Mission Hill,42.3297244,-71.09804227
2310,,,Boston,Mission Hill,42.33220831,-71.09798426
2311,,,Boston,Mission Hill,42.33627412,-71.09840428
2312,,,Boston,Mission Hill,42.33207232,-71.10848105
2313,,,Boston,Mission Hill,42.32776955,-71.10024174
2314,,,Boston,Mission Hill,42.33179899,-71.11033838
2315,,,Boston,Mission Hill,42.33271492,-71.09409413
2316,,,Boston,Mission Hill,42.33637513,-71.09220317
2317,,,Boston,Mission Hill,42.33485785,-71.09253165
2318,,,Boston,Mission Hill,42.33552491,-71.09712143
