,source,target,value
106,boston_Agassiz,sanfrancisco_OuterRichmond,0
107,boston_Agassiz,sanfrancisco_OuterSunset,0
108,boston_Agassiz,sanfrancisco_PacificHeights,0
109,boston_Agassiz,sanfrancisco_Parkside,0
110,boston_Agassiz,sanfrancisco_PotreroHill,0
111,boston_Agassiz,sanfrancisco_PresidioHeights,0
112,boston_Agassiz,sanfrancisco_RussianHill,0
113,boston_Agassiz,sanfrancisco_Seacliff,0
114,boston_Agassiz,sanfrancisco_SouthOfMarket,0
115,boston_Agassiz,sanfrancisco_TwinPeaks,0
116,boston_Agassiz,sanfrancisco_WestOfTwinPeaks,0
117,boston_Agassiz,sanfrancisco_WesternAddition,0
118,boston_Allston,boston_Area2MIT,0.43044
119,boston_Allston,boston_BROOKLINE_02445,0.56764
120,boston_Allston,boston_BROOKLINE_02446,0.516365
121,boston_Allston,boston_BackBay,0.166895
122,boston_Allston,boston_BayVillage,0.039728
123,boston_Allston,boston_BeaconHill,0.021805
124,boston_Allston,boston_Brighton,0.66737
125,boston_Allston,boston_Cambridgeport,1.3306
126,boston_Allston,boston_Charlestown,0.52685
127,boston_Allston,boston_Chinatown,0.154785
128,boston_Allston,boston_Dorchester,0.77004
129,boston_Allston,boston_Downtown,0.150965
130,boston_Allston,boston_EVERETT_02149,0.85405
131,boston_Allston,boston_EastBoston,0.975705
132,boston_Allston,boston_EastCambridge,0.14328
133,boston_Allston,boston_Fenway,0.657815
134,boston_Allston,boston_JamaicaPlain,0.45381
135,boston_Allston,boston_LeatherDistrict,0
136,boston_Allston,boston_LongwoodMedicalArea,0
137,boston_Allston,boston_MEDFORD_02155,0
138,boston_Allston,boston_MidCambridge,0.051835
139,boston_Allston,boston_MissionHill,0.94514
140,boston_Allston,boston_NeighborhoodNine,0.070475
141,boston_Allston,boston_NorthCambridge,0.881185
142,boston_Allston,boston_NorthEnd,0.320065
143,boston_Allston,boston_Riverside,0
144,boston_Allston,boston_Roxbury,0.521655
145,boston_Allston,boston_SOMERVILLE_02143,0.3987635
146,boston_Allston,boston_SOMERVILLE_02144,0.23085
147,boston_Allston,boston_SOMERVILLE_02145,0.437146
148,boston_Allston,boston_SouthBoston,0.6436
149,boston_Allston,boston_SouthBostonWaterfront,0.63765
150,boston_Allston,boston_SouthEnd,0.63513
151,boston_Allston,boston_ThePort,0.145085
152,boston_Allston,boston_WATERTOWN_02472,1.9689
153,boston_Allston,boston_WellingtonHarrington,0.61763
154,boston_Allston,boston_WestCambridge,0.06829
155,boston_Allston,boston_WestEnd,0.4885
156,boston_Allston,chicago_ArmourSquare,1.238505
157,boston_Allston,chicago_Bridgeport,0.34276
158,boston_Allston,chicago_Douglas,0
159,boston_Allston,chicago_EastGarfieldPark,0.060875
160,boston_Allston,chicago_HumboldtPark,0.074305
161,boston_Allston,chicago_LincolnPark,0.602455
162,boston_Allston,chicago_LoganSquare,0.59635
163,boston_Allston,chicago_Loop,0.075005
164,boston_Allston,chicago_LowerWestSide,0.740705
165,boston_Allston,chicago_McKinleyPark,0.74365
166,boston_Allston,chicago_NearNorthSide,0.1769
167,boston_Allston,chicago_NearSouthSide,0.108195
168,boston_Allston,chicago_NearWestSide,0.908859
169,boston_Allston,chicago_NorthLawndale,0.126414
170,boston_Allston,chicago_SouthLawndale,0
171,boston_Allston,chicago_WestTown,1.0611
172,boston_Allston,newyork_AstoriaLongIslandCity,0.33473
173,boston_Allston,newyork_BatteryPark,0
174,boston_Allston,newyork_CarnegieHill,0
175,boston_Allston,newyork_CentralPark,0.631895
176,boston_Allston,newyork_Chelsea,0.343015
177,boston_Allston,newyork_Chinatown,0.20645
178,boston_Allston,newyork_Clinton,0
179,boston_Allston,newyork_EastHarlem,0
180,boston_Allston,newyork_EastVillage,0
181,boston_Allston,newyork_FinancialDistrict,0.139995
182,boston_Allston,newyork_GarmentDistrict,0
183,boston_Allston,newyork_Gramercy,0.05406
184,boston_Allston,newyork_Greenpoint,0.48017
185,boston_Allston,newyork_GreenwichVillage,0.13868
186,boston_Allston,newyork_LittleItaly,0
187,boston_Allston,newyork_LowerEastSide,0
188,boston_Allston,newyork_Maspeth,0.155738
189,boston_Allston,newyork_Midtown,0
190,boston_Allston,newyork_MurrayHill,0
191,boston_Allston,newyork_NorthSuttonArea,0
192,boston_Allston,newyork_Soho,0.21521
193,boston_Allston,newyork_Steinway,0.14929
194,boston_Allston,newyork_SunnySide,0.37475
195,boston_Allston,newyork_TheWaterfront,0.321605
196,boston_Allston,newyork_Tribeca,0
197,boston_Allston,newyork_UpperEastSide,0
198,boston_Allston,newyork_UpperWestSide,0.04393
199,boston_Allston,newyork_WestVillage,0.34688
200,boston_Allston,newyork_Williamsburg,0.090225
201,boston_Allston,newyork_Woodside,0.6103
202,boston_Allston,newyork_Yorkville,0
203,boston_Allston,sanfrancisco_Bayview,0.082365
204,boston_Allston,sanfrancisco_BernalHeights,0.193785
205,boston_Allston,sanfrancisco_CastroUpperMarket,0
206,boston_Allston,sanfrancisco_Chinatown,0.35234
207,boston_Allston,sanfrancisco_DiamondHeights,0.05355
208,boston_Allston,sanfrancisco_Downtown,0.298905
209,boston_Allston,sanfrancisco_Excelsior,0
210,boston_Allston,sanfrancisco_FinancialDistrict,0
211,boston_Allston,sanfrancisco_GlenPark,0
212,boston_Allston,sanfrancisco_HaightAshbury,0
213,boston_Allston,sanfrancisco_InnerRichmond,0
214,boston_Allston,sanfrancisco_InnerSunset,0
215,boston_Allston,sanfrancisco_Lakeshore,0.2747
216,boston_Allston,sanfrancisco_Marina,0
217,boston_Allston,sanfrancisco_Mission,0.130195
218,boston_Allston,sanfrancisco_NobHill,0
219,boston_Allston,sanfrancisco_NoeValley,0
220,boston_Allston,sanfrancisco_NorthBeach,0.33568
221,boston_Allston,sanfrancisco_OceanView,0
222,boston_Allston,sanfrancisco_OuterMission,0
223,boston_Allston,sanfrancisco_OuterRichmond,0
224,boston_Allston,sanfrancisco_OuterSunset,0
225,boston_Allston,sanfrancisco_PacificHeights,0
226,boston_Allston,sanfrancisco_Parkside,0
227,boston_Allston,sanfrancisco_PotreroHill,0.48455
228,boston_Allston,sanfrancisco_PresidioHeights,0
229,boston_Allston,sanfrancisco_RussianHill,0.11289
230,boston_Allston,sanfrancisco_Seacliff,0
231,boston_Allston,sanfrancisco_SouthOfMarket,0.0289685
232,boston_Allston,sanfrancisco_TwinPeaks,0.321975
233,boston_Allston,sanfrancisco_WestOfTwinPeaks,0.230013
234,boston_Allston,sanfrancisco_WesternAddition,0
235,boston_Area2MIT,boston_BROOKLINE_02445,0.364335
236,boston_Area2MIT,boston_BROOKLINE_02446,0.140995
237,boston_Area2MIT,boston_BackBay,0.98096
238,boston_Area2MIT,boston_BayVillage,0.08748
239,boston_Area2MIT,boston_BeaconHill,0.091305
240,boston_Area2MIT,boston_Brighton,0.09514
241,boston_Area2MIT,boston_Cambridgeport,0.54588
242,boston_Area2MIT,boston_Charlestown,0.44887
243,boston_Area2MIT,boston_Chinatown,0
244,boston_Area2MIT,boston_Dorchester,0.1068
245,boston_Area2MIT,boston_Downtown,0.206996
246,boston_Area2MIT,boston_EVERETT_02149,0.435635
247,boston_Area2MIT,boston_EastBoston,0.11243
248,boston_Area2MIT,boston_EastCambridge,0.91114
249,boston_Area2MIT,boston_Fenway,1.2625
250,boston_Area2MIT,boston_JamaicaPlain,0.1005
251,boston_Area2MIT,boston_LeatherDistrict,0
252,boston_Area2MIT,boston_LongwoodMedicalArea,0.06914
253,boston_Area2MIT,boston_MEDFORD_02155,0
254,boston_Area2MIT,boston_MidCambridge,0.204155
255,boston_Area2MIT,boston_MissionHill,0.099736
256,boston_Area2MIT,boston_NeighborhoodNine,0.214035
257,boston_Area2MIT,boston_NorthCambridge,0.1059
258,boston_Area2MIT,boston_NorthEnd,0.390945
259,boston_Area2MIT,boston_Riverside,0.9054
260,boston_Area2MIT,boston_Roxbury,0.425155
261,boston_Area2MIT,boston_SOMERVILLE_02143,0
262,boston_Area2MIT,boston_SOMERVILLE_02144,0
