,lat,lng,entropy_mean
0,40.694283,-73.959170082,5.80592013064
1,40.694283,-73.9611500442,5.89056312148
2,40.694283,-73.9631300063,5.51608366825
3,40.694283,-73.9651099685,6.0733358033
4,40.694283,-73.9670899306,5.83300697691
5,40.694283,-73.9690698927,5.96957285854
6,40.694283,-73.9710498549,5.88418382288
7,40.694283,-73.973029817,5.47118447519
8,40.694283,-73.9769897413,5.63808328675
9,40.695783,-73.9492702713,5.81576449876
10,40.695783,-73.9552101577,5.60823037847
11,40.695783,-73.9571901199,5.45396658244
12,40.695783,-73.959170082,5.70765368122
13,40.695783,-73.9611500442,5.8508601304
14,40.695783,-73.9631300063,5.27414362909
15,40.695783,-73.9651099685,5.35751126459
16,40.695783,-73.9670899306,5.70862897851
17,40.695783,-73.9690698927,4.97940330826
18,40.695783,-73.9710498549,4.98140273058
19,40.695783,-73.973029817,5.26923688592
20,40.695783,-73.9750097792,4.97811822543
21,40.695783,-73.9769897413,5.34104541583
22,40.695783,-73.9789697035,5.13754325816
23,40.695783,-73.9809496656,5.54244511925
24,40.695783,-73.9829296278,5.3762157809
25,40.695783,-73.9849095899,5.77595387621
26,40.695783,-73.9868895521,5.65265146211
27,40.697283,-73.9433303849,5.70822019439
28,40.697283,-73.9472903091,5.324213431
29,40.697283,-73.9492702713,5.62554495211
30,40.697283,-73.9512502334,5.9172695395
31,40.697283,-73.9532301956,5.80972560808
32,40.697283,-73.9552101577,5.81022617335
33,40.697283,-73.9571901199,5.75487485614
34,40.697283,-73.9631300063,5.79309322931
35,40.697283,-73.9651099685,5.05257085996
36,40.697283,-73.9690698927,5.29096012968
37,40.697283,-73.9710498549,5.54789135588
38,40.697283,-73.973029817,5.43070414783
39,40.697283,-73.9769897413,5.59061851796
40,40.697283,-73.9809496656,5.6241279771
41,40.697283,-73.9829296278,5.60754738715
42,40.697283,-73.9849095899,5.62340169704
43,40.697283,-73.9868895521,5.22407280931
44,40.697283,-73.9888695142,5.7257306958
45,40.697283,-73.9908494763,5.41133460586
46,40.697283,-73.9928294385,5.82150337413
47,40.698783,-73.9393704606,5.39410857164
48,40.698783,-73.9413504227,5.82235348244
49,40.698783,-73.945310347,5.47725325104
50,40.698783,-73.9472903091,5.97177769145
51,40.698783,-73.9492702713,5.7153079991
52,40.698783,-73.9532301956,5.65925649254
53,40.698783,-73.9552101577,5.47923821923
54,40.698783,-73.9571901199,5.23337988993
55,40.698783,-73.959170082,5.41358305653
56,40.698783,-73.9611500442,4.92114908836
57,40.698783,-73.9631300063,5.38246123812
58,40.698783,-73.9809496656,6.02704822395
59,40.698783,-73.9829296278,5.50940027525
60,40.698783,-73.9849095899,6.4142842277
61,40.698783,-73.9868895521,5.77902254313
62,40.698783,-73.9888695142,5.83486189415
63,40.698783,-73.9908494763,5.94625033599
64,40.698783,-73.9928294385,5.73048155667
65,40.698783,-73.9948094006,5.44182657078
66,40.698783,-73.9967893628,4.36136326529
