,lat,lng,_r,_g,_b,color
0,42.298631,-71.0830938769,0.10637225247,0.328955223881,0.378959276018,#605540
1,42.298631,-71.0851235962,0.338414634146,0.0518659076534,0.344444444444,#535753
2,42.298631,-71.0871533155,,,,
3,42.298631,-71.0891830348,,,,
4,42.298631,-71.0993316314,,,,
5,42.300131,-71.0729452804,0.192214111922,0.0720294426919,0.257200811359,#40413c
6,42.300131,-71.0749749997,0.542276422764,0.137676292814,0.389281045752,#555f63
7,42.300131,-71.077004719,0.093394575678,0.205779098029,0.500743745774,#7f7465
8,42.300131,-71.0790344383,0.0869409915702,0.309211398277,0.325145442793,#524639
9,42.300131,-71.0810641576,0.154250238777,0.0897633744856,0.324405506884,#52524b
10,42.300131,-71.0830938769,0.0973587223587,0.296053827969,0.422837370242,#6b5e4b
11,42.300131,-71.0851235962,0.08608815427,0.270089285714,0.212953060012,#362f27
12,42.300131,-71.0871533155,,,,
13,42.300131,-71.0993316314,0.2,0.0769230769231,0.127450980392,#20201e
14,42.300131,-71.1013613507,0.0416666666667,0.214285714286,0.219607843137,#382f2c
15,42.300131,-71.10339107,0.0615079365079,0.343792633015,0.71862745098,#b78f78
16,42.300131,-71.1054207893,0.133333333333,0.326086956522,0.180392156863,#2e2b1f
17,42.300131,-71.1074505086,0.123188405797,0.398699891658,0.258543417367,#413b27
18,42.300131,-71.1094802279,0.5,0.00418410041841,0.937254901961,#eeefef
19,42.301631,-71.0668561225,0.174355777224,0.0826037696982,0.447935409458,#717268
20,42.301631,-71.0688858418,0.162878787879,0.00945287883128,0.912679738562,#e8e8e6
21,42.301631,-71.0709155611,0.449685534591,0.0482783749317,0.566460268318,#89908e
22,42.301631,-71.0729452804,0.161494252874,0.0781039590628,0.373353443942,#5f5e57
23,42.301631,-71.0749749997,0.270114942529,0.0082703550549,0.85943627451,#dadbd9
24,42.301631,-71.077004719,0.0368421052632,0.430513595166,0.276178556529,#462e28
25,42.301631,-71.0790344383,0.0338827838828,0.288088642659,0.309681372549,#4e3c38
26,42.301631,-71.0810641576,0.545797101449,0.0886251541307,0.43123961449,#646b6d
27,42.301631,-71.0830938769,0.31935483871,0.0319587628866,0.42265795207,#686b68
28,42.301631,-71.0851235962,0.128498727735,0.175996417376,0.4608875129,#757060
29,42.301631,-71.0871533155,,,,
30,42.301631,-71.0891830348,,,,
31,42.301631,-71.1013613507,,,,
32,42.301631,-71.1054207893,0.156084656085,0.0520661157025,0.365007541478,#5d5c58
33,42.301631,-71.1074505086,0.0305555555556,0.43795620438,0.26862745098,#442c26
34,42.301631,-71.1094802279,0.0498381877023,0.432955023119,0.373176470588,#5f4235
35,42.301631,-71.1115099472,0.150793650794,0.319796954315,0.0594268476621,#0f0e0a
36,42.301631,-71.1135396665,,,,
37,42.301631,-71.1155693858,0.0718407386036,0.446074646075,0.491461100569,#7d5d45
38,42.303131,-71.0607669646,0.0655270655271,0.335680751174,0.357983193277,#5b483c
39,42.303131,-71.0627966839,0.227124183007,0.0274046211714,0.583843137255,#939490
40,42.303131,-71.0648264032,0.553418803419,0.154150197628,0.440958605664,#5f6a70
41,42.303131,-71.0668561225,0.206439393939,0.125534950071,0.246180860404,#3c3e36
42,42.303131,-71.0688858418,0.164653243848,0.126873297003,0.277439168438,#46463d
43,42.303131,-71.0709155611,0.187579214195,0.0808484475868,0.327099044746,#52534c
44,42.303131,-71.0749749997,0.34367816092,0.076882290562,0.399788023317,#5e655e
45,42.303131,-71.077004719,0.504807692308,0.105476673428,0.193333333333,#2c3131
46,42.303131,-71.0790344383,0.110762800418,0.0327549029675,0.868003565062,#dddad6
47,42.303131,-71.0810641576,0.116384180791,0.219059405941,0.495098039216,#7e7562
48,42.303131,-71.0830938769,0.177911646586,0.136110200066,0.351672433679,#58594d
49,42.303131,-71.0851235962,0.0984752223634,0.197987421384,0.380200860832,#60594d
50,42.303131,-71.0912127541,,,,
51,42.303131,-71.0993316314,,,,
52,42.303131,-71.10339107,0.916666666667,0.11214953271,0.209803921569,#352f32
53,42.303131,-71.1054207893,0.117571059432,0.132375577219,0.424618736383,#6c685d
54,42.303131,-71.1074505086,0.177177177177,0.128621089224,0.423039215686,#6b6b5d
55,42.303131,-71.1135396665,0.12353347136,0.0790378006873,0.630650154799,#a09d94
56,42.303131,-71.1155693858,0.351810790835,0.138726545678,0.310951697752,#444f45
57,42.303131,-71.1175991051,0.0876288659794,0.104189044039,0.912745098039,#e8ddd0
58,42.303131,-71.1196288244,,,,
59,42.304631,-71.056707526,0.15580952381,0.0573469655263,0.467463235294,#777670
60,42.304631,-71.0587372453,0.180093403386,0.0684160076683,0.442289348172,#707069
61,42.304631,-71.0607669646,0.246666666667,0.00570125427594,0.905056759546,#e6e6e5
62,42.304631,-71.0648264032,0.188010899183,0.100796484482,0.285568627451,#474841
63,42.304631,-71.0668561225,0.127352572146,0.16295236148,0.290612002377,#4a473e
64,42.304631,-71.0688858418,0.19550342131,0.0817353787152,0.564164976335,#8d8f84
65,42.304631,-71.0709155611,0.163878562577,0.0676985025796,0.465144863916,#76766e
66,42.304631,-71.0729452804,0.104341736695,0.0869724100128,0.670710784314,#aba59c
67,42.304631,-71.0749749997,0.120879120879,0.11294993794,0.379137254902,#605d55
68,42.304631,-71.077004719,0.181972789116,0.0696269982238,0.441568627451,#6f7068
69,42.304631,-71.0790344383,0.426315789474,0.00753370340999,0.915758896151,#e7e9e8
70,42.304631,-71.0810641576,0.102494331066,0.216686320755,0.341075917547,#564f44
71,42.304631,-71.0830938769,0.40251572327,0.0752840909091,0.345098039216,#515854
72,42.304631,-71.0851235962,0.122222222222,0.0766871165644,0.166751918159,#2a2927
73,42.304631,-71.0932424734,,,,
74,42.304631,-71.0952721927,,,,
75,42.304631,-71.10339107,0.1,0.0900900900901,0.870588235294,#ded6ca
76,42.304631,-71.1054207893,0.267123287671,0.0455112219451,0.419346405229,#686a66
77,42.304631,-71.1074505086,0.10891350211,0.0905444126074,0.636570907433,#a29d93
78,42.304631,-71.1094802279,0.222222222222,0.00161594398061,0.856516724337,#dadada
79,42.304631,-71.1135396665,0.118781094527,0.106687898089,0.61568627451,#9d988c
80,42.304631,-71.1155693858,0.193379790941,0.0876335877863,0.321078431373,#50514a
81,42.304631,-71.1175991051,0.263452131377,0.0870914734344,0.34642631246,#535850
82,42.304631,-71.1196288244,0.0936639118457,0.108747753146,0.770011534025,#c4bbae
83,42.304631,-71.1216585437,,,,
84,42.306131,-71.056707526,0.192307692308,0.00408805031447,0.860040567951,#dbdbda
85,42.306131,-71.0587372453,0.134907251265,0.0608329913828,0.530936819172,#87857f
86,42.306131,-71.0607669646,0.544956140351,0.0160795514651,0.52212096106,#838485
87,42.306131,-71.0627966839,0.159605648814,0.13401178361,0.366078431373,#5d5c50
88,42.306131,-71.0648264032,0.14064602961,0.119127785794,0.444705882353,#716f63
89,42.306131,-71.0668561225,0.532879818594,0.083215397679,0.322207022344,#4b5052
90,42.306131,-71.0688858418,0.209164818921,0.0696632684584,0.416200578592,#686a62
91,42.306131,-71.0709155611,0.127272727273,0.130372049881,0.481657979648,#7a776a
92,42.306131,-71.0729452804,0.0915463486085,0.267551226067,0.898039215686,#e5c9a7
93,42.306131,-71.0749749997,0.0197530864198,0.29702970297,0.324064171123,#523d3a
94,42.306131,-71.077004719,0.138114209827,0.102240325866,0.300857843137,#4c4b44
95,42.306131,-71.0790344383,0.10247637667,0.183629509962,0.809150326797,#cebfa8
96,42.306131,-71.0810641576,0.148125,0.147438260229,0.327360482655,#535247
97,42.306131,-71.0830938769,0.0604010025063,0.306875865251,0.212450980392,#362b25
98,42.306131,-71.0851235962,0.052608311229,0.1696287964,0.232418300654,#3b3431
99,42.306131,-71.0871533155,0.0927835051546,0.264305177112,0.359803921569,#5b5143
100,42.306131,-71.0952721927,,,,
101,42.306131,-71.1054207893,0.32,0.140977443609,0.149019607843,#212620
102,42.306131,-71.1074505086,0.995024875622,0.258812168035,0.300798838054,#4c3839
103,42.306131,-71.1094802279,0.0682489451477,0.23403940157,0.756414565826,#c0a693
104,42.306131,-71.1115099472,0.539682539683,0.0280623608018,0.366830065359,#5a5c5d
105,42.306131,-71.1135396665,0.394514767932,0.0241738066095,0.457703081232,#717472
106,42.306131,-71.1155693858,0.051884057971,0.268002796551,0.37394335512,#5f4d45
107,42.306131,-71.1175991051,0.114106476772,0.265460437483,0.46843769766,#776d57
108,42.306131,-71.1196288244,0.4,0.0892857142857,0.219607843137,#333835
109,42.306131,-71.1216585437,,,,
110,42.306131,-71.123688263,,,,
111,42.306131,-71.1277477016,0.242424242424,0.183333333333,0.235294117647,#373c31
112,42.307631,-71.0526480874,,,,
113,42.307631,-71.0546778067,0.176923076923,0.0128179846184,0.710224089636,#b4b5b2
114,42.307631,-71.056707526,0.136363636364,0.0191972076789,0.898823529412,#e5e4e0
115,42.307631,-71.0587372453,0.402857142857,0.0462595823421,0.279911209767,#444745
116,42.307631,-71.0607669646,0.37908496732,0.0270844397238,0.314226115978,#4d504e
117,42.307631,-71.0627966839,0.120614035088,0.0669603524229,0.37091503268,#5e5c58
118,42.307631,-71.0648264032,0.31935483871,0.0559364850235,0.231205673759,#373a37
119,42.307631,-71.0668561225,0.0346742719904,0.405823586745,0.440934730056,#704c42
120,42.307631,-71.0688858418,0.20697954272,0.0823424494649,0.432529733205,#6c6e65
121,42.307631,-71.0709155611,0.556209150327,0.0275944161887,0.883883309421,#dbdfe1
122,42.307631,-71.0729452804,0.189177489177,0.022591245159,0.805197259627,#cccdc8
