,lat,lng,tree,sky
111,41.829604,-87.6666368877,34571.5,40664.5
112,41.829604,-87.6686514034,73702.5,11938.0
113,41.829604,-87.6706659191,44912.75,37013.75
114,41.829604,-87.6726804348,73049.0,20090.5
115,41.829604,-87.6746949505,63742.0,19407.0
116,41.829604,-87.6767094662,73388.5,28229.25
117,41.829604,-87.6787239819,5315.25,59320.75
118,41.829604,-87.6807384976,11197.25,53072.75
119,41.829604,-87.6827530133,70133.0,32778.0
120,41.831104,-87.6062014168,38930.25,58406.5
121,41.831104,-87.6082159325,45261.5,33178.25
122,41.831104,-87.6102304482,25830.5,50962.75
123,41.831104,-87.6122449639,79650.0,23507.5
124,41.831104,-87.6142594796,51694.25,39599.5
125,41.831104,-87.6162739953,50954.75,35933.0
126,41.831104,-87.618288511,25476.25,43858.25
127,41.831104,-87.6203030267,53817.75,12765.75
128,41.831104,-87.6223175424,7915.25,66105.5
129,41.831104,-87.6243320581,26016.5,39073.5
130,41.831104,-87.6263465738,12484.0,55859.25
131,41.831104,-87.6283610895,30786.5,49917.75
132,41.831104,-87.6303756052,3873.0,29776.0
133,41.831104,-87.6323901209,30859.75,37593.5
134,41.831104,-87.6344046366,24897.5,12467.25
135,41.831104,-87.6364191523,16803.6666667,17.0
136,41.831104,-87.638433668,43962.75,46186.25
137,41.831104,-87.6404481837,75161.5,8950.0
138,41.831104,-87.6424626994,45106.0,37797.25
139,41.831104,-87.6444772151,34921.25,39533.5
140,41.831104,-87.6464917308,707.75,36241.0
141,41.831104,-87.6485062465,72956.25,27105.0
142,41.831104,-87.6505207622,21189.0,40653.0
143,41.831104,-87.6525352779,16056.5,21315.0
144,41.831104,-87.664622372,16431.25,66442.25
145,41.831104,-87.6666368877,87106.5,20044.0
146,41.831104,-87.6686514034,40072.0,40433.0
147,41.831104,-87.6706659191,62520.5,25377.25
148,41.831104,-87.6726804348,50109.0,34242.0
149,41.831104,-87.6746949505,81363.0,6883.0
150,41.831104,-87.6767094662,3481.25,60409.0
151,41.831104,-87.6787239819,99556.0,1611.75
152,41.831104,-87.6807384976,80114.75,12529.5
153,41.831104,-87.6827530133,14756.25,61864.75
154,41.831104,-87.684767529,58532.0,33755.25
155,41.832604,-87.6062014168,85255.0,35749.25
156,41.832604,-87.6102304482,35899.25,23920.0
157,41.832604,-87.6142594796,9944.25,60752.25
158,41.832604,-87.6162739953,10416.5,64088.0
159,41.832604,-87.618288511,72019.0,14267.25
160,41.832604,-87.6203030267,93123.0,7111.75
161,41.832604,-87.6223175424,76063.0,20596.0
162,41.832604,-87.6263465738,104739.5,20269.25
163,41.832604,-87.6303756052,13250.25,71457.5
164,41.832604,-87.6323901209,30718.75,67329.5
165,41.832604,-87.6344046366,50653.5,50237.75
166,41.832604,-87.638433668,84462.75,16652.25
167,41.832604,-87.6404481837,38104.5,42689.75
168,41.832604,-87.6424626994,49060.25,29979.75
169,41.832604,-87.6444772151,37226.0,40315.75
170,41.832604,-87.6464917308,24691.0,36439.75
171,41.832604,-87.6485062465,60227.25,15688.25
172,41.832604,-87.6505207622,40024.0,35595.75
173,41.832604,-87.6525352779,72520.75,16009.25
174,41.832604,-87.6545497935,38129.0,32729.25
175,41.832604,-87.6565643092,41581.0,37683.0
176,41.832604,-87.6585788249,41878.75,63805.75
177,41.832604,-87.6605933406,36630.25,55415.0
178,41.832604,-87.6626078563,2880.75,47797.25
179,41.832604,-87.664622372,70055.75,9593.5
180,41.832604,-87.6666368877,65412.5,25100.25
181,41.832604,-87.6686514034,44709.75,34221.75
182,41.832604,-87.6706659191,23635.0,42882.5
183,41.832604,-87.6726804348,66735.5,31523.75
184,41.832604,-87.6746949505,10163.5,55695.25
185,41.832604,-87.6767094662,91062.5,14049.5
186,41.832604,-87.6787239819,101113.5,5527.25
187,41.832604,-87.6807384976,48175.0,35048.0
188,41.832604,-87.6827530133,46125.5,41941.25
189,41.832604,-87.684767529,64126.5,29925.0
190,41.832604,-87.6867820447,43054.25,36658.5
191,41.834104,-87.6041869011,11406.0,81939.5
192,41.834104,-87.6062014168,110565.5,17990.5
193,41.834104,-87.6082159325,56761.25,56689.0
194,41.834104,-87.6102304482,92249.25,13232.25
195,41.834104,-87.6122449639,74761.75,30093.75
196,41.834104,-87.6142594796,73856.75,31744.25
197,41.834104,-87.6162739953,67138.75,37596.75
198,41.834104,-87.618288511,71730.5,11005.5
199,41.834104,-87.6203030267,42702.75,42523.25
200,41.834104,-87.6223175424,33682.75,34789.5
201,41.834104,-87.6263465738,102329.75,24648.0
202,41.834104,-87.6303756052,13137.25,63824.75
203,41.834104,-87.6323901209,67072.75,41501.25
204,41.834104,-87.6364191523,32975.0,1032.33333333
205,41.834104,-87.638433668,65404.0,31159.25
206,41.834104,-87.6404481837,65420.0,25481.0
207,41.834104,-87.6424626994,64063.0,10458.25
208,41.834104,-87.6444772151,69308.0,28624.5
209,41.834104,-87.6464917308,29927.0,36900.75
210,41.834104,-87.6485062465,63852.25,16663.25
211,41.834104,-87.6505207622,48563.0,18796.75
212,41.834104,-87.6525352779,65067.0,17908.75
213,41.834104,-87.6545497935,38126.5,30676.75
214,41.834104,-87.6565643092,63829.25,27314.75
215,41.834104,-87.6585788249,64293.75,47135.0
216,41.834104,-87.6605933406,38210.75,62503.25
217,41.834104,-87.664622372,30687.25,48333.75
218,41.834104,-87.6666368877,38173.0,42270.75
219,41.834104,-87.6686514034,50169.25,28917.25
220,41.834104,-87.6706659191,57646.5,22477.5
221,41.834104,-87.6726804348,43765.25,53038.5
222,41.834104,-87.6746949505,86154.5,23706.25
223,41.834104,-87.6767094662,46590.5,53890.25
224,41.834104,-87.6787239819,71907.75,18342.25
225,41.834104,-87.6807384976,34845.0,48012.25
226,41.834104,-87.6827530133,77255.75,21317.75
227,41.834104,-87.684767529,14987.0,47848.0
228,41.834104,-87.6867820447,35520.25,65200.0
229,41.834104,-87.6887965604,6333.0,77045.25
230,41.834104,-87.6908110761,8168.75,76634.0
231,41.835604,-87.6062014168,77405.75,43588.75
232,41.835604,-87.6082159325,42851.0,63569.75
233,41.835604,-87.6122449639,81329.75,25612.5
