NAME,Agassiz,Allston,Area 2/MIT,BROOKLINE_02445,BROOKLINE_02446,Back Bay,Bay Village,Beacon Hill,Brighton,Cambridgeport,Charlestown,Chinatown,Dorchester,Downtown,EVERETT_02149,East Boston,East Cambridge,Fenway,Jamaica Plain,Leather District,Longwood Medical Area,MEDFORD_02155,Mid-Cambridge,Mission Hill,Neighborhood Nine,North Cambridge,North End,Riverside,Roxbury,SOMERVILLE_02143,SOMERVILLE_02144,SOMERVILLE_02145,South Boston,South Boston Waterfront,South End,The Port,WATERTOWN_02472,Wellington-Harrington,West Cambridge,West End,cluster_outof_2,cluster_outof_3,cluster_outof_4,cluster_outof_5,cluster_outof_6,cluster_outof_7
Neighborhood Nine,0.84505,0.15548,0.35625,0.09409,0,0.11181,0,0.073515,0,0.2572,0.60966,0,0,0.41522,0,0,0,0,0.3743,0,0,0.3786,0.74289,0,0,0,0.15081,0.40435,0.14069,0.086562,0.19316,0.10247,0,0,0.11662,0.14613,0.45623,0.11337,1.4294,0.76494,0,0,0,4,2,5
North Cambridge,1.9031,1.6065,0.19128,2.1871,1.23,0.17324,0.96521,0.31123,2.6572,1.1494,1.9568,0.085333,0.97995,0,0,0.91549,0.52114,0.74766,3.5727,0,0,1.2435,2.5897,2.4078,3.8513,0,0,1.4269,0.49056,3.0876,6.716,2.5418,1.4794,0,0.34489,3.3696,0.4562,1.2001,3.3262,0.19044,0,0,0,4,2,5
North End,0.14713,0.87079,1.3746,0,0.090672,3.7679,4.4828,2.1244,0.76594,0.46274,1.4497,4.3114,0.43686,3.8499,0.51409,1.3156,0.89925,1.2364,0,6.2978,1.0942,0,0.21153,0.4186,0.35364,0,0,1.0965,0.89132,0.37512,1.2002,0,0.90163,3.5555,1.4893,0,0,0,0.26849,3.229,1,2,3,2,0,2
Riverside,0.28368,1.3094,0.81495,0.48757,2.5735,1.7848,0.28458,4.2618,0.34086,1.7634,0.56837,0.6864,1.2747,1.1326,0.039922,0.26639,1.7636,2.2877,0.82123,0.17642,1.4686,0,1.5557,0.83048,0.42084,0.084503,1.4532,0,1.335,1.0002,0.94644,1.3993,1.3294,0,4.3289,0.51367,0.99504,2.836,1.3479,2.0362,0,0,2,1,1,1
Roxbury,0.39778,1.0877,0.91602,0.96788,0.58447,1.4447,1.6317,0.56574,1.1051,0.91737,1.0109,0.62806,0.43033,0.6926,0,0.95428,0.52961,1.1716,0.79711,0,0.89206,0,0.22364,1.7928,0.49491,0,1.1813,0.45583,0,0.62956,1.3024,0.34719,0.86627,0.96625,2.8665,0.25144,0,0.19841,0,0.46815,0,0,0,1,1,3
SOMERVILLE_02143,2.9008,1.0239,0.40084,1.5942,0.98532,0.002771,1.2561,0,2.2711,0.63163,1.7643,0.25751,0.87539,0.42206,0,1.8102,2.7446,1.099,1.6879,0,0.26365,0.95981,3.3399,1.457,1.66,1.389,0,0.98304,0.31557,0,3.5118,2.1764,0.53358,0.90625,1.2706,3.8499,0.92929,0.84987,1.9106,0.97265,0,0,2,4,2,5
SOMERVILLE_02144,1.1753,0.43284,0.26224,0.85331,0.64652,0.12123,0.73098,0.2772,1.6467,1.0339,0,0,0.4593,0.37289,0.95702,0.14474,0,0.36882,1.3565,0,0,1.0285,0.44541,0.4032,3.0505,1.1542,0.35057,0.20945,0.21358,0.78972,0,1.213,0.23978,0.64674,0.039681,1.8464,0.64248,0.23012,0.75625,0.41538,0,0,0,4,2,5
SOMERVILLE_02145,0.24327,1.3226,1.3103,1.0387,1.1507,0.30206,0,0.31393,3.878,0.6224,1.5128,0.98492,1.1576,0,2.6716,3.0521,0.31463,0,0.87412,0,1.385,4.4671,0.92081,0.5514,0.36963,2.7122,0,0.3971,0.45897,2.6088,0.26899,0,1.9899,1.1037,0.43692,0.99316,1.1408,2.1743,1.0108,0,0,1,1,0,3,0
South Boston,0,0.19076,0.62555,0,0,0,0.5088,0,0.5731,0.0066209,0.23191,1.2875,0.9083,0.24801,0,1.5516,0.72664,0.079682,0.4042,0,0.58187,0.30066,0.38837,0.63048,0,0,0,0.14929,0.42785,0.84342,0.20123,0.998,0,0.19906,0.20095,0.91119,0.12439,0.60147,0,0,0,1,1,3,3,0
South Boston Waterfront,0.62959,0.70595,0.35724,0,0,0.44929,0.22246,0,0,0.7926,2.0762,6.0635,0.59226,1.2016,1.6192,1.2305,1.5178,0.033139,0.33399,0,0.39746,0.6677,0.32698,0,0,0.71742,0.29517,0.58685,0.27157,0.19997,0,1.0595,5.4705,0,1.1913,0.3259,0.7254,0,0,1.7001,1,1,1,3,3,0
South End,0.59867,0,0.50469,0.38971,0.72379,1.1614,1.2756,1.1238,0,0.25362,0.23106,0.24331,0.10161,0.20777,0.077415,0,1.2002,1.0797,0,0.43934,0.25147,0,0,0.25649,0,0.096086,0.58584,0.059278,0.31885,0,0,0.057746,0.21033,0,0,0.40717,0,0.35351,0,0.64584,1,2,2,1,1,1
The Port,1.0266,0.10642,0.44959,0,0.29195,1.2347,0.78381,0.070237,0,0,0,0.10505,0,0,0,0.62813,0.83686,1.1126,0,0,0.2707,0,0.38227,0,0.48443,1.126,0.20954,0.88546,0,0.26205,1.2173,0.18157,0,0.2071,0,0,0,1.4379,0,0.91729,0,0,2,4,2,5
WATERTOWN_02472,0.23527,0.89177,0.29376,0.28358,0.53795,0.50855,0.13418,0,2.1087,0.51173,0.23593,0,0.57696,0,1.2891,0,0.13565,0.76868,1.1933,0,0.40517,3.0896,0.73875,0.2594,0.21924,1.5063,0,0.45692,1.5113,0.54305,0.16954,0.17484,0.18554,0,0,0.59272,0,0,0.78922,0.30752,0,0,0,0,5,4
Wellington-Harrington,0.91178,0.93898,0.94622,0.59173,1.0302,1.4899,0.81214,0.29325,2.161,0.30818,1.2684,0.20654,0.51108,0.29329,0.61642,2.6591,4.6318,2.1794,0.50525,0,1.1236,1.177,1.5054,1.0929,0.14988,1.0399,1.5602,2.2389,0.38472,3.4658,1.743,1.6313,2.5791,1.7852,0.3662,3.2296,1.39,0,1.4693,1.5968,0,0,2,3,3,0
West Cambridge,2.1556,1.3664,0.9223,3.9897,0.74519,0.90252,0.35086,2.3949,0.61305,0.32913,0.24894,0,0.20845,0.21266,1.9428,0.25232,0.042145,0,1.8211,0,0.40197,1.8822,0.88794,0.83986,2.26,0.42556,0.59883,0.66414,0.014041,0.86928,0.93282,0.32933,0.28605,0,0.40503,0.70789,1.3563,0,0,0.94803,0,0,0,4,2,5
West End,0.38952,1.7192,1.573,0.13985,0.10224,0.80224,0.52468,0.44541,0.1717,0.82253,0.15256,0.45004,0.64046,0.68292,0.47729,0,1.308,0.063974,0.39085,0,1.0304,0.49533,2.1139,0.55319,0,0.17513,1.4592,0.34304,0,0.13223,0.49641,0.19482,0.79777,0.79024,0.74354,0.92103,0,0,0.17412,0,1,2,2,1,1,1
