name,1,2,3,4,5,6,7,8,9,10
AstoriaLongIslandCity,"newyork/40.76833274,-73.93266213_3.png","newyork/40.75774295,-73.92247698_2.png","newyork/40.75458247,-73.91336098_2.png","newyork/40.75242805,-73.93337001_2.png","newyork/40.75997301,-73.91254117_3.png","newyork/40.76603592,-73.9217403_0.png","newyork/40.76555915,-73.91967527_3.png","newyork/40.75589677,-73.92533758_3.png","newyork/40.76469329,-73.90956194_1.png","newyork/40.75434672,-73.90895804_1.png"
BatteryPark,"newyork/40.71660457,-74.01565447_1.png","newyork/40.71360405,-74.01678204_3.png","newyork/40.71188046,-74.01620138_1.png","newyork/40.71360405,-74.01678204_0.png","newyork/40.70923536,-74.0170976_0.png","newyork/40.71837597,-74.01267165_2.png","newyork/40.7185695,-74.01524983_1.png","newyork/40.71643161,-74.01332604_3.png","newyork/40.71212747,-74.01808459_3.png","newyork/40.71518052,-74.01353461_0.png"
CarnegieHill,"newyork/40.78337592,-73.95535829_0.png","newyork/40.78027946,-73.95570612_0.png","newyork/40.78071062,-73.95583661_3.png","newyork/40.78480421,-73.95324207_1.png","newyork/40.78100219,-73.95722537_1.png","newyork/40.78604283,-73.95560422_1.png","newyork/40.78283798,-73.95600575_1.png","newyork/40.78213887,-73.96006083_0.png","newyork/40.78546941,-73.95185931_3.png","newyork/40.78689024,-73.95622701_2.png"
CentralPark,"newyork/40.76635194,-73.97206893_3.png","newyork/40.77178393,-73.9772959_2.png","newyork/40.77657141,-73.96488469_2.png","newyork/40.77828481,-73.96529519_3.png","newyork/40.7797644,-73.96478046_3.png","newyork/40.78217928,-73.96899606_3.png","newyork/40.78956119,-73.95629052_3.png","newyork/40.7945923,-73.95785876_1.png","newyork/40.79700499,-73.95601229_0.png","newyork/40.77692028,-73.97347761_2.png"
Chelsea,"newyork/40.74365747,-73.99079572_3.png","newyork/40.75349128,-74.00608411_0.png","newyork/40.75250204,-73.99517966_2.png","newyork/40.75076378,-74.00489608_3.png","newyork/40.74852311,-74.00840989_2.png","newyork/40.74545726,-74.00833177_2.png","newyork/40.75108712,-74.00685056_3.png","newyork/40.73987139,-73.99436098_3.png","newyork/40.7422154,-74.00178448_1.png","newyork/40.75020654,-73.99922131_1.png"
Chinatown,"newyork/40.71731316,-73.99771374_0.png","newyork/40.71608387,-74.00032975_2.png","newyork/40.7156898,-73.99755962_2.png","newyork/40.71767104,-73.99998062_3.png","newyork/40.71606671,-74.00010484_3.png","newyork/40.7166515,-73.99691346_2.png","newyork/40.71642662,-73.99788526_2.png","newyork/40.71819545,-74.00102663_0.png","newyork/40.71431712,-73.99691088_1.png","newyork/40.71452332,-73.99311994_3.png"
Clinton,"newyork/40.75632605,-74.00041081_1.png","newyork/40.7619695,-73.99881456_0.png","newyork/40.76458966,-73.99826495_0.png","newyork/40.76458966,-73.99826495_2.png","newyork/40.76055971,-73.99811085_3.png","newyork/40.76275431,-73.9981763_1.png","newyork/40.7574126,-74.00087743_3.png","newyork/40.75802549,-73.99034917_3.png","newyork/40.76218192,-73.99961243_0.png","newyork/40.75524372,-73.99469192_3.png"
EastHarlem,"newyork/40.79420055,-73.93373449_2.png","newyork/40.79439619,-73.94019669_1.png","newyork/40.79530448,-73.942326_1.png","newyork/40.79684604,-73.94075826_2.png","newyork/40.79652086,-73.94168078_1.png","newyork/40.79439619,-73.94019669_3.png","newyork/40.79577097,-73.93826221_1.png","newyork/40.79594083,-73.93757913_1.png","newyork/40.79534867,-73.93881872_1.png","newyork/40.79598841,-73.94679069_0.png"
EastVillage,"newyork/40.72693102,-73.98305608_1.png","newyork/40.72259791,-73.97911781_3.png","newyork/40.72216463,-73.97801901_3.png","newyork/40.72217824,-73.98165429_3.png","newyork/40.72928309,-73.98305251_1.png","newyork/40.72365906,-73.98315864_3.png","newyork/40.72856411,-73.98060461_3.png","newyork/40.72563525,-73.97996169_0.png","newyork/40.72420316,-73.98336148_1.png","newyork/40.72377753,-73.98037505_1.png"
FinancialDistrict,"newyork/40.70841396,-74.00622902_2.png","newyork/40.70910576,-74.0116874_2.png","newyork/40.70923862,-74.00803058_2.png","newyork/40.70712973,-74.01081903_2.png","newyork/40.7050922,-74.0113545_3.png","newyork/40.71175553,-74.01007566_3.png","newyork/40.7097574,-74.00632285_3.png","newyork/40.71379237,-74.01256845_0.png","newyork/40.70854079,-74.01019216_0.png","newyork/40.70812597,-74.00917229_1.png"
GarmentDistrict,"newyork/40.75404357,-73.98326388_1.png","newyork/40.75047656,-73.99268466_0.png","newyork/40.7510838,-73.98822772_0.png","newyork/40.75170412,-73.9865537_0.png","newyork/40.75310923,-73.98782574_0.png","newyork/40.75143368,-73.99002579_0.png","newyork/40.74970726,-73.9889176_0.png","newyork/40.75364931,-73.99156282_1.png","newyork/40.75352126,-73.99137105_0.png","newyork/40.75364931,-73.99156282_2.png"
Gramercy,"newyork/40.73233797,-73.97769248_2.png","newyork/40.73138608,-73.975144_3.png","newyork/40.73516589,-73.98434368_3.png","newyork/40.74172591,-73.97262931_3.png","newyork/40.73978433,-73.9856088_2.png","newyork/40.73978433,-73.9856088_0.png","newyork/40.74123902,-73.98259703_2.png","newyork/40.7391634,-73.97987241_2.png","newyork/40.73233797,-73.97769248_1.png","newyork/40.73613781,-73.98462742_3.png"
Greenpoint,"newyork/40.72809725,-73.95632098_2.png","newyork/40.72670567,-73.94477959_1.png","newyork/40.71767615,-73.93644865_0.png","newyork/40.72017781,-73.96140053_3.png","newyork/40.73532076,-73.96000521_0.png","newyork/40.72619665,-73.95797948_1.png","newyork/40.72907688,-73.94879741_2.png","newyork/40.72659471,-73.95771679_3.png","newyork/40.73087364,-73.95286084_1.png","newyork/40.73461928,-73.94520704_0.png"
GreenwichVillage,"newyork/40.736649,-73.99633386_0.png","newyork/40.73410674,-73.99761251_0.png","newyork/40.73228344,-73.99792332_2.png","newyork/40.73290011,-74.00142213_2.png","newyork/40.73470214,-73.99759834_1.png","newyork/40.73083828,-73.99071244_3.png","newyork/40.73224813,-73.99267027_2.png","newyork/40.72540202,-73.99412224_0.png","newyork/40.73224822,-73.9981779_0.png","newyork/40.73551468,-74.00045544_1.png"
LittleItaly,"newyork/40.7247441,-73.99460025_3.png","newyork/40.71824807,-73.99579312_3.png","newyork/40.71888851,-73.99671706_3.png","newyork/40.72358691,-73.99532282_1.png","newyork/40.7239741,-73.99544109_0.png","newyork/40.72287644,-73.99563678_1.png","newyork/40.72117483,-73.99719803_2.png","newyork/40.71888851,-73.99671706_1.png","newyork/40.71806724,-73.9958148_3.png","newyork/40.72372977,-73.99540073_0.png"
LowerEastSide,"newyork/40.71539345,-73.99241011_0.png","newyork/40.71675549,-73.98263622_2.png","newyork/40.7143602,-73.98387531_1.png","newyork/40.71475797,-74.00259312_0.png","newyork/40.71446909,-73.98199273_2.png","newyork/40.71140111,-73.99286907_3.png","newyork/40.71475797,-74.00259312_3.png","newyork/40.71350824,-73.97802927_3.png","newyork/40.70841727,-73.99917356_3.png","newyork/40.71244713,-73.97847012_2.png"
Maspeth,"newyork/40.7201682,-73.90714056_3.png","newyork/40.72673494,-73.92224293_0.png","newyork/40.72752692,-73.91373452_3.png","newyork/40.72634605,-73.91141887_1.png","newyork/40.73150949,-73.92248221_0.png","newyork/40.72509025,-73.90500629_3.png","newyork/40.71739652,-73.92059843_1.png","newyork/40.72497229,-73.9084862_2.png","newyork/40.7249639,-73.91226927_2.png","newyork/40.73155675,-73.9206317_2.png"
Midtown,"newyork/40.7557984,-73.97644134_2.png","newyork/40.76371562,-73.97469313_2.png","newyork/40.759432,-73.98370739_0.png","newyork/40.75545615,-73.97416637_2.png","newyork/40.7521103,-73.97188405_0.png","newyork/40.7617941,-73.9790931_0.png","newyork/40.76171957,-73.97152296_0.png","newyork/40.76784159,-73.98249489_2.png","newyork/40.75984135,-73.96781374_2.png","newyork/40.75547934,-73.98513984_2.png"
