lat,lng,_r,_g,_b
41.829604,-87.61224496,0.96875,0.126984127,0.494117647
41.829604,-87.61425948,0.277777778,0.06,0.392156863
41.829604,-87.616274,0.089992801,0.136296732,0.317180205
41.829604,-87.61828851,0.072111111,0.257754103,0.800756794
41.829604,-87.62030303,0.030165913,0.077110956,0.340582294
41.829604,-87.62231754,0.037216828,0.519327731,0.233333333
41.829604,-87.62433206,0.058145363,0.375070502,0.239756592
41.829604,-87.62634657,0.104166667,0.101716465,0.82248366
41.829604,-87.62836109,0.080952381,0.099904853,0.858660131
41.829604,-87.63037561,,,
41.829604,-87.63843367,0.077830872,0.248113818,0.758006536
41.829604,-87.64044818,0.061449785,0.303450729,0.537733142
41.829604,-87.6424627,0.063636364,0.041540785,0.179039892
41.829604,-87.64447722,0.189883914,0.035976374,0.421342383
41.829604,-87.64649173,0.098972499,0.163504299,0.778085352
41.829604,-87.64850625,0.057113188,0.257005604,0.257791538
41.829604,-87.65052076,0.066952075,0.338322269,0.85500516
41.829604,-87.66663689,0.038383838,0.189111748,0.253449528
41.829604,-87.6686514,0.088694853,0.336113686,0.373356401
41.829604,-87.67066592,0.095144357,0.186148772,0.324301842
41.829604,-87.67268043,0.056291391,0.271582734,0.311484594
41.829604,-87.67469495,0.062115621,0.162178336,0.198573975
41.829604,-87.67670947,0.085129906,0.274215553,0.307983193
41.829604,-87.67872398,0.092189501,0.187200384,0.481199539
41.829604,-87.6807385,0.13482781,0.247109827,0.208748115
41.829604,-87.68275301,0.073717949,0.379725086,0.396930946
41.831104,-87.60620142,0.472222222,0.007672634,0.766666667
41.831104,-87.60821593,0.4705064,0.125,0.427094474
41.831104,-87.61023045,0.085329341,0.15754717,0.286680189
41.831104,-87.61224496,0.077601411,0.224732461,0.549673203
41.831104,-87.61425948,0.103067485,0.159678683,0.32283365
41.831104,-87.616274,0.136044177,0.140558848,0.343064633
41.831104,-87.61828851,0.070209974,0.313735178,0.566946779
41.831104,-87.62030303,0.107415107,0.288542292,0.181590414
41.831104,-87.62231754,0.046675473,0.48094028,0.440896359
41.831104,-87.62433206,0.088519313,0.139541848,0.919023048
41.831104,-87.62634657,0.133819951,0.107366771,0.178711485
41.831104,-87.62836109,0.11598858,0.177972561,0.411607843
41.831104,-87.63037561,0.109154437,0.35924085,0.27120098
41.831104,-87.63239012,0.071965204,0.169209153,0.44402852
41.831104,-87.63440464,0.062550444,0.15664707,0.498275455
41.831104,-87.63641915,0.078671567,0.276973535,0.228121775
41.831104,-87.63843367,0.055120678,0.397356143,0.77586727
41.831104,-87.64044818,0.049926579,0.427898209,0.346732026
41.831104,-87.6424627,0.084291188,0.215346535,0.352069717
41.831104,-87.64447722,0.102303523,0.168666438,0.408543417
41.831104,-87.64649173,0.095939751,0.215313029,0.12875817
41.831104,-87.64850625,0.086247086,0.296066253,0.236764706
41.831104,-87.65052076,0.062998405,0.255813953,0.156288857
41.831104,-87.65253528,0.087634409,0.097760959,0.112029677
41.831104,-87.66462237,0.539473684,0.082909091,0.490196078
41.831104,-87.66663689,0.094036697,0.143138542,0.459426848
41.831104,-87.6686514,0.084499741,0.26836394,0.427094474
41.831104,-87.67066592,0.084210526,0.097636177,0.401651187
41.831104,-87.67268043,0.072180585,0.469110999,0.520522876
41.831104,-87.67469495,0.01777499,0.455168475,0.286111111
41.831104,-87.67670947,0.079059829,0.17384844,0.329901961
41.831104,-87.67872398,0.173333333,0.007778469,0.969532428
41.831104,-87.6807385,0.122779519,0.135398981,0.355354449
41.831104,-87.68275301,0.114709852,0.322173913,0.225490196
41.831104,-87.68476753,0,0.131578947,0.447058824
41.832604,-87.60620142,0.992537313,0.049156273,0.763585434
41.832604,-87.61023045,0.144654088,0.060654612,0.176632302
41.832604,-87.61425948,0.095600677,0.071368192,0.721655773
41.832604,-87.616274,0.069483568,0.114221364,0.358477509
41.832604,-87.61828851,0.057936508,0.18699911,0.220196078
41.832604,-87.62030303,0.023228804,0.446345257,0.36022409
41.832604,-87.62231754,0.039215686,0.089238845,0.373529412
41.832604,-87.62634657,0.047619048,0.071428571,0.384313725
41.832604,-87.63037561,0.124113475,0.149681529,0.24627451
41.832604,-87.63239012,,,
41.832604,-87.63440464,,,
41.832604,-87.63843367,0.048433048,0.178899083,0.197285068
41.832604,-87.64044818,0.346994536,0.019020892,0.4056926
41.832604,-87.6424627,0.078583765,0.125732899,0.207572684
41.832604,-87.64447722,0.051131419,0.429372197,0.233202614
41.832604,-87.64649173,0.052947911,0.305740287,0.422789493
41.832604,-87.64850625,0.09607438,0.266813671,0.20922722
41.832604,-87.65052076,0.05647977,0.43349359,0.667379679
41.832604,-87.65253528,0.030134446,0.371001032,0.223529412
41.832604,-87.65454979,0.105833333,0.090867787,0.401459188
41.832604,-87.65656431,0.124938635,0.100577692,0.37288042
41.832604,-87.65857882,0.144444444,0.135746606,0.216666667
41.832604,-87.66059334,0.473039216,0.015202325,0.674660633
41.832604,-87.66260786,0.572016461,0.00829748,0.660040568
41.832604,-87.66462237,0.131036099,0.265794393,0.338393422
41.832604,-87.66663689,0.091467577,0.311370882,0.512527233
41.832604,-87.6686514,0.095017182,0.236239649,0.328611445
41.832604,-87.67066592,0.040630182,0.130012937,0.144351074
41.832604,-87.67268043,0.10110525,0.269441624,0.603553922
41.832604,-87.67469495,0.04049026,0.553214675,0.327153892
41.832604,-87.67670947,0.068432671,0.366504854,0.403921569
41.832604,-87.67872398,0.048850575,0.077643909,0.26631016
41.832604,-87.6807385,0.073322511,0.156703129,0.327993325
41.832604,-87.68275301,0.11230329,0.228992629,0.30693816
41.832604,-87.68476753,0.533333333,0.027932961,0.701960784
41.832604,-87.68678204,0.476531424,0.061078717,0.48912656
41.834104,-87.6041869,0.556179775,0.361336665,0.660887513
41.834104,-87.60620142,,,
41.834104,-87.60821593,0.206349206,0.008457511,0.811437908
41.834104,-87.61023045,0.072649573,0.022311213,0.360784314
41.834104,-87.61224496,,,
41.834104,-87.61425948,,,
41.834104,-87.616274,,,
41.834104,-87.61828851,0.142036125,0.024972321,0.937600923
41.834104,-87.62030303,0.087452471,0.225364182,0.435854342
41.834104,-87.62231754,0.051515152,0.473766641,0.238468721
41.834104,-87.62634657,,,
41.834104,-87.63037561,0.488888889,0.137362637,0.71372549
41.834104,-87.63239012,,,
41.834104,-87.63641915,0.035337553,0.055264078,0.113250149
41.834104,-87.63843367,0.0625,0.249609984,0.251372549
41.834104,-87.64044818,0.04954955,0.406035665,0.238235294
41.834104,-87.6424627,0.062018702,0.541071429,0.274509804
