id,lat,lng,tree,sky,entropy_mean,_r,_g,_b,color,neighborhood
53,40.698783,-73.95521016,766.25,35475.5,5.479238219,0.106661581,0.14363975,0.33140886,#545048,Williamsburg
54,40.698783,-73.95719012,319.5,26931.5,5.23337989,0.041624193,0.097090261,0.338662645,#56504d,Williamsburg
55,40.698783,-73.95917008,1632.75,20530,5.413583057,0.077294686,0.106991824,0.483819267,#7b746e,Williamsburg
56,40.698783,-73.96115004,31350.25,18314.5,4.921149088,0.578408195,0.217034377,0.286617647,#394149,Williamsburg
57,40.698783,-73.96313001,46406,40109.5,5.382461238,0.090600775,0.309979725,0.348156863,#584c3d,Williamsburg
58,40.698783,-73.98094967,46620,24813.5,6.027048224,0.082882883,0.323803967,0.39538639,#645444,Williamsburg
59,40.698783,-73.98292963,16307,41716.25,5.509400275,0.079863406,0.352845149,0.30573975,#4d3f32,Williamsburg
60,40.698783,-73.98490959,85064.25,28776.5,6.414284228,0.081560284,0.144171779,0.639215686,#a3978b,Williamsburg
61,40.698783,-73.98688955,15410.5,27681.75,5.779022543,0.041134185,0.35070028,0.28,#47342e,Williamsburg
62,40.698783,-73.98886951,52859.75,24001.5,5.834861894,0.043097643,0.257142857,0.260311021,#423531,Williamsburg
63,40.698783,-73.99084948,56554.75,13420.75,5.946250336,0.11036036,0.149093351,0.389281046,#635e54,Williamsburg
64,40.698783,-73.99282944,16967.5,1518.25,5.730481557,0.045927402,0.405902567,0.427941176,#6d4d40,Williamsburg
65,40.698783,-73.9948094,16680.75,3963,5.441826571,0.063257182,0.268731687,0.30885585,#4e4139,Williamsburg
66,40.698783,-73.99678936,10981.75,43172.25,4.361363265,0.213333333,0.052543085,0.073459935,#121211,Williamsburg
67,40.700283,-73.93541054,58102.5,19422.5,5.860481901,0.04590708,0.393043478,0.31102096,#4f3830,Williamsburg
68,40.700283,-73.9373905,14718,48695.5,5.874288072,0.083333333,0.201795332,0.273039216,#453e37,Williamsburg
69,40.700283,-73.93937046,37232.75,24037.75,5.883069961,0.109597925,0.094381197,0.410708899,#68655e,Williamsburg
70,40.700283,-73.94135042,12713.25,5783.5,5.62475759,0.261381173,0.12472932,0.181098039,#2a2e28,Williamsburg
71,40.700283,-73.94333038,11337.5,26814.25,5.419974405,0.067278287,0.273393787,0.327830487,#53453c,Williamsburg
72,40.700283,-73.94531035,44141.25,28992.5,5.839254204,0.110403397,0.112976733,0.441865395,#706c63,Williamsburg
73,40.700283,-73.94729031,6370,50603.75,5.672822968,0.35395189,0.111366246,0.170784314,#262b27,Williamsburg
74,40.700283,-73.94927027,2842.75,59891.5,5.799815202,0.044502618,0.125657895,0.229260935,#3a3533,Williamsburg
75,40.700283,-73.95125023,34113,10323,6.211386874,0.092868654,0.249372049,0.464659197,#766958,Williamsburg
76,40.700283,-73.9532302,6094.5,18014.75,5.58184763,0.096352201,0.189665044,0.346785803,#585147,Williamsburg
77,40.700283,-73.95521016,15609.5,31067.75,5.696481142,0.029695349,0.506899951,0.342230656,#57322b,Williamsburg
78,40.700283,-73.95719012,7924.5,21796.5,5.895290625,0.041718815,0.263957714,0.26379085,#433531,Williamsburg
79,40.700283,-73.95917008,2683.25,36702,5.620871526,0.114429131,0.147804436,0.46407563,#767064,Williamsburg
80,40.700283,-73.96115004,10761.75,44827.5,5.819721424,0.056805075,0.516763523,0.258016148,#412b1f,Williamsburg
81,40.700283,-73.96313001,7440.25,70648.75,5.901839549,0.096244131,0.161363636,0.739495798,#bcaf9e,Williamsburg
82,40.700283,-73.98094967,26762.25,50311.25,5.733858514,0.058647799,0.303899083,0.31087344,#4f3f37,Williamsburg
83,40.700283,-73.98292963,43165.5,22374.25,5.405377826,0.080808081,0.363854267,0.263883618,#43362a,Williamsburg
84,40.700283,-73.98490959,17290.5,54330.25,5.721322076,0.135761589,0.172637195,0.343006536,#575448,Williamsburg
85,40.700283,-73.98688955,1642.5,55604.25,5.659786022,0.150213285,0.113674148,0.277508651,#46453e,Williamsburg
86,40.700283,-73.98886951,6975.5,40565.25,5.390944946,0.101940035,0.209487918,0.368545752,#5d564a,Williamsburg
87,40.700283,-73.99084948,38094.75,30256.25,6.072975312,0.139386189,0.172246696,0.329702251,#545145,Williamsburg
88,40.700283,-73.99282944,14760.5,18009.75,5.970145163,0.115038115,0.120960644,0.415843137,#6a665d,Williamsburg
89,40.700283,-73.9948094,20080.25,2556,5.508773205,0.119353583,0.184841287,0.193199833,#312e28,Williamsburg
90,40.700283,-73.99678936,23289.5,43914.5,5.737077702,0.159574468,0.0197562,0.621960784,#9e9e9b,Williamsburg
91,40.701783,-73.93145061,39435.25,20613.25,5.07415899,0.058728764,0.38355241,0.342214533,#574135,Williamsburg
92,40.701783,-73.93343057,37491.5,28072,4.971214947,0.096618357,0.226698945,0.43612368,#6f6456,Williamsburg
93,40.701783,-73.93541054,21710.25,57133,5.893078035,0.102908277,0.138475836,0.703267974,#b3a99a,Williamsburg
94,40.701783,-73.9373905,26532,30873.25,5.474671312,0.092985318,0.225202057,0.323469994,#524a3f,Williamsburg
95,40.701783,-73.94135042,3185.75,30730.25,5.471713665,0.550887021,0.195135283,0.275942685,#384246,Williamsburg
96,40.701783,-73.94333038,10374.25,25386.75,6.051728099,0.18323393,0.153306919,0.15502008,#262721,Williamsburg
97,40.701783,-73.94531035,38167.5,42057,6.035032954,0.046296296,0.046571798,0.216526611,#373534,Williamsburg
98,40.701783,-73.94729031,18373.25,62099.75,5.825501375,0.10331384,0.075480026,0.612711291,#9c9790,Williamsburg
99,40.701783,-73.94927027,5736.25,58912.25,6.046962309,0.126041667,0.187866928,0.371096587,#5e5a4c,Williamsburg
100,40.701783,-73.95125023,15555,22712.5,5.877369517,0.133635905,0.196550699,0.219803922,#38352d,Williamsburg
101,40.701783,-73.9532302,6592.75,37995.5,5.548943886,0.044279835,0.54377014,0.265525847,#43281e,Williamsburg
102,40.701783,-73.95521016,11887.5,29323.75,5.83236377,0.020228672,0.34151836,0.195593743,#312220,Williamsburg
103,40.701783,-73.95719012,13486,24535.25,6.164829103,0.075442478,0.316216594,0.283105565,#483b31,Williamsburg
104,40.701783,-73.95917008,6176.25,25247.5,5.727866631,0.094429435,0.3553209,0.277631829,#463b2d,Williamsburg
105,40.701783,-73.96115004,29977.75,64839.5,5.642889826,0.113793103,0.054799698,0.691764706,#b0ada6,Williamsburg
106,40.701783,-73.96313001,6334.75,44285.75,5.461859286,0.027825786,0.473718683,0.281753172,#472b25,Williamsburg
107,40.701783,-73.98094967,39395,26255.5,5.670923052,0.068038686,0.318846816,0.433986928,#6e594b,Williamsburg
108,40.701783,-73.98292963,31611.75,26178.25,5.726797321,0.123917749,0.206618962,0.389716776,#635e4e,Williamsburg
109,40.701783,-73.98490959,923,38981.25,5.635219275,0.13434903,0.138846154,0.357757138,#5b584e,Williamsburg
110,40.701783,-73.98688955,5839.5,36796.5,5.495842971,0.121363259,0.078828386,0.356232493,#5a5853,Williamsburg
111,40.701783,-73.98886951,8002.5,24089.75,5.221557307,0.052740741,0.355450237,0.326625387,#533f35,Williamsburg
