,lat,lng,dir,city,entropy_mean,entropy_std
98,42.301631,-71.077004719,2,boston,,
99,42.301631,-71.077004719,3,boston,5.0207356847,1.00656293997
100,42.301631,-71.0790344383,0,boston,4.80913070546,1.05906356461
101,42.301631,-71.0790344383,1,boston,4.37333146182,0.870310197901
102,42.301631,-71.0790344383,2,boston,4.50891251943,0.933498161946
103,42.301631,-71.0790344383,3,boston,4.08277858399,1.44360731991
104,42.301631,-71.0810641576,0,boston,4.62304568324,1.19540982604
105,42.301631,-71.0810641576,1,boston,4.13932228653,0.909872583163
106,42.301631,-71.0810641576,2,boston,4.1350728119,0.812776468117
107,42.301631,-71.0810641576,3,boston,4.77670578639,1.1761760425
108,42.301631,-71.0830938769,0,boston,4.42663986273,0.892534185067
109,42.301631,-71.0830938769,1,boston,4.33993195216,0.768257658419
110,42.301631,-71.0830938769,2,boston,,
111,42.301631,-71.0830938769,3,boston,4.76204012739,1.17497052466
112,42.301631,-71.0851235962,0,boston,4.55859392995,1.12802389843
113,42.301631,-71.0851235962,1,boston,4.66965303148,1.07052457557
114,42.301631,-71.0851235962,2,boston,4.09687632097,1.16343085058
115,42.301631,-71.0851235962,3,boston,,
116,42.301631,-71.0871533155,0,boston,,
117,42.301631,-71.0871533155,1,boston,,
118,42.301631,-71.0871533155,2,boston,,
119,42.301631,-71.0871533155,3,boston,,
120,42.301631,-71.0891830348,0,boston,,
121,42.301631,-71.0891830348,1,boston,,
122,42.301631,-71.0891830348,2,boston,,
123,42.301631,-71.0891830348,3,boston,,
124,42.301631,-71.1013613507,0,boston,,
125,42.301631,-71.1013613507,1,boston,,
126,42.301631,-71.1013613507,2,boston,,
127,42.301631,-71.1013613507,3,boston,,
128,42.301631,-71.1054207893,0,boston,5.18149544511,0.954342096867
129,42.301631,-71.1054207893,1,boston,,
130,42.301631,-71.1054207893,2,boston,,
131,42.301631,-71.1054207893,3,boston,,
132,42.301631,-71.1074505086,0,boston,,
133,42.301631,-71.1074505086,1,boston,,
134,42.301631,-71.1074505086,2,boston,,
135,42.301631,-71.1074505086,3,boston,,
136,42.301631,-71.1094802279,0,boston,,
137,42.301631,-71.1094802279,1,boston,,
138,42.301631,-71.1094802279,2,boston,4.25849185886,1.16614611621
139,42.301631,-71.1094802279,3,boston,4.4041928626,1.1254402699
140,42.301631,-71.1115099472,0,boston,,
141,42.301631,-71.1115099472,1,boston,,
142,42.301631,-71.1115099472,2,boston,4.11123631369,1.26020850306
143,42.301631,-71.1115099472,3,boston,,
144,42.301631,-71.1135396665,0,boston,,
145,42.301631,-71.1135396665,1,boston,,
146,42.301631,-71.1135396665,2,boston,,
147,42.301631,-71.1135396665,3,boston,,
148,42.301631,-71.1155693858,0,boston,5.29205270115,0.681518241259
149,42.301631,-71.1155693858,1,boston,5.25533085491,0.665834548876
150,42.301631,-71.1155693858,2,boston,,
151,42.301631,-71.1155693858,3,boston,,
152,42.303131,-71.0607669646,0,boston,5.11800297381,0.993942289728
153,42.303131,-71.0607669646,1,boston,,
154,42.303131,-71.0607669646,2,boston,4.25054264267,0.743693340352
155,42.303131,-71.0607669646,3,boston,4.5435877946,1.07149086352
156,42.303131,-71.0627966839,0,boston,,
157,42.303131,-71.0627966839,1,boston,,
158,42.303131,-71.0627966839,2,boston,4.43535172562,1.01043626737
159,42.303131,-71.0627966839,3,boston,5.13869392276,0.76109922002
160,42.303131,-71.0648264032,0,boston,,
161,42.303131,-71.0648264032,1,boston,4.31779827763,1.10770646058
162,42.303131,-71.0648264032,2,boston,4.63163391004,0.92159905369
163,42.303131,-71.0648264032,3,boston,,
164,42.303131,-71.0668561225,0,boston,4.82261302156,1.03125855169
165,42.303131,-71.0668561225,1,boston,4.38222317563,1.01017416774
166,42.303131,-71.0668561225,2,boston,4.63430998039,1.0251587048
167,42.303131,-71.0668561225,3,boston,4.84142281217,0.997538007202
168,42.303131,-71.0688858418,0,boston,4.94656143507,0.928252588068
169,42.303131,-71.0688858418,1,boston,4.44802480942,0.924629283482
170,42.303131,-71.0688858418,2,boston,4.55937224872,0.814348022703
171,42.303131,-71.0688858418,3,boston,5.00635559414,0.849594856808
172,42.303131,-71.0709155611,0,boston,4.87608394341,1.00435433998
173,42.303131,-71.0709155611,1,boston,4.64567713392,1.08377102652
174,42.303131,-71.0709155611,2,boston,4.78613805771,0.925070435282
175,42.303131,-71.0709155611,3,boston,4.84713284513,0.967245598648
176,42.303131,-71.0749749997,0,boston,,
177,42.303131,-71.0749749997,1,boston,,
178,42.303131,-71.0749749997,2,boston,4.46696864175,0.913599464061
179,42.303131,-71.0749749997,3,boston,4.28576229602,1.08462501564
180,42.303131,-71.077004719,0,boston,4.59654456833,0.911468946727
181,42.303131,-71.077004719,1,boston,4.53477903026,0.883127919233
182,42.303131,-71.077004719,2,boston,,
183,42.303131,-71.077004719,3,boston,4.62587117541,1.01701580033
184,42.303131,-71.0790344383,0,boston,5.20959287015,0.712549058612
185,42.303131,-71.0790344383,1,boston,3.7009610933,1.19059842445
186,42.303131,-71.0790344383,2,boston,,
187,42.303131,-71.0790344383,3,boston,4.91735773729,1.00290870501
188,42.303131,-71.0810641576,0,boston,4.35198543081,1.2044699686
189,42.303131,-71.0810641576,1,boston,,
190,42.303131,-71.0810641576,2,boston,4.54892638148,0.843160802137
191,42.303131,-71.0810641576,3,boston,4.59335285625,0.976056895585
192,42.303131,-71.0830938769,0,boston,4.62880462358,1.10825867789
193,42.303131,-71.0830938769,1,boston,4.90722975333,0.979461127174
194,42.303131,-71.0830938769,2,boston,4.47562456871,1.21702708529
195,42.303131,-71.0830938769,3,boston,4.55240463155,1.1622143889
196,42.303131,-71.0851235962,0,boston,,
197,42.303131,-71.0851235962,1,boston,4.57501557955,0.93083688262
198,42.303131,-71.0851235962,2,boston,4.9580871416,0.783968468386
199,42.303131,-71.0851235962,3,boston,,
