id,lat,lng,tree,sky,entropy_mean,_r,_g,_b,color,neighborhood
41,41.825104,-87.66462237,12954.5,58204.25,5.356945047,0.050249934,0.416776316,0.331154684,#543b31,McKinley Park
42,41.825104,-87.66663689,57975,24403.25,5.723401573,0.042378242,0.401829966,0.285729847,#48332b,McKinley Park
43,41.825104,-87.6686514,54568.25,30113.25,5.638996242,0.072553897,0.220273973,0.318082789,#51473f,McKinley Park
44,41.825104,-87.67066592,48098.5,41638.25,5.484519738,0.056823266,0.227759095,0.320686275,#51453f,McKinley Park
45,41.826604,-87.616274,89183.75,30468,5.996512772,0.9125,0.058309038,0.67254902,#aba1a6,Douglas
46,41.826604,-87.61828851,30637.75,36727,5.455041363,0.049868248,0.256150653,0.403472222,#66544c,Douglas
47,41.826604,-87.62030303,42188.75,56083.75,,,,,,Douglas
48,41.826604,-87.62231754,56345.75,44454.25,6.203662187,0.122807018,0.108882521,0.45620915,#747167,Douglas
49,41.826604,-87.62433206,23096.5,37499,5.632534041,0.079845725,0.305781391,0.356809025,#5a4c3f,Douglas
50,41.826604,-87.62634657,41611.5,54454.5,5.998118194,0.075757576,0.048780488,0.442156863,#706d6b,Douglas
51,41.826604,-87.63037561,12397,64397.75,5.571296551,0.139143731,0.00957316,0.797338936,#cbcbc9,Douglas
52,41.826604,-87.63440464,59151.5,41871.5,6.521195969,0.077294686,0.192200557,0.938562092,#efd6c1,Bridgeport
53,41.826604,-87.63843367,45125.5,26605,5.730283481,0.118309002,0.114214256,0.361840121,#5c5951,Bridgeport
54,41.826604,-87.64044818,69170.75,15176.75,6.026574548,0.021505376,0.051796157,0.408184143,#686362,Bridgeport
55,41.826604,-87.6424627,63257,10202,6.267303766,0.079059829,0.029093622,0.375490196,#5f5e5c,Bridgeport
56,41.826604,-87.64447722,51608.5,37260,5.69324221,0.045068027,0.084482759,0.379084967,#605a58,Bridgeport
57,41.826604,-87.64649173,60788.5,34866.25,5.848040044,0.107758621,0.202726319,0.386883029,#625b4e,Bridgeport
58,41.826604,-87.64850625,69282,35650,6.172503736,0.133655395,0.143550624,0.565490196,#908c7b,Bridgeport
59,41.826604,-87.65052076,100936.5,16258.75,6.212638087,0.082278481,0.251592357,0.410457516,#685b4e,Bridgeport
60,41.826604,-87.65253528,24755.75,61022.75,5.637494427,0.094301994,0.223538403,0.38010167,#60574b,Bridgeport
61,41.826604,-87.65454979,26982,48706.75,5.46678419,0.072082836,0.38723109,0.287337986,#49392c,Bridgeport
62,41.826604,-87.66059334,1448.25,43429.5,5.016521902,0.046600702,0.407889598,0.271365483,#453028,Bridgeport
63,41.826604,-87.66260786,1864.25,33416,4.683654176,0.048005319,0.480941417,0.286531061,#493025,McKinley Park
64,41.826604,-87.66462237,1528.5,39493.25,5.080233245,0.071341357,0.346383904,0.232637571,#3b2f26,McKinley Park
65,41.826604,-87.66663689,42655,35194.5,5.228794959,0.07452782,0.306141585,0.269829222,#44392f,McKinley Park
