,lat,lng,dir,city,sky,tree
103,41.825104,-87.6263465738,0,chicago,58092,41102
104,41.825104,-87.6263465738,1,chicago,67263,64676
105,41.825104,-87.6263465738,2,chicago,60824,46528
106,41.825104,-87.6263465738,3,chicago,57027,40725
107,41.825104,-87.6303756052,0,chicago,77065,9842
108,41.825104,-87.6303756052,1,chicago,62392,13190
109,41.825104,-87.6303756052,2,chicago,48035,10795
110,41.825104,-87.6303756052,3,chicago,74183,13881
111,41.825104,-87.6344046366,0,chicago,39732,55212
112,41.825104,-87.6344046366,1,chicago,69522,33137
113,41.825104,-87.6344046366,2,chicago,75252,62892
114,41.825104,-87.6344046366,3,chicago,68104,34922
115,41.825104,-87.6364191523,0,chicago,63100,26486
116,41.825104,-87.6364191523,1,chicago,73511,71570
117,41.825104,-87.6364191523,2,chicago,59446,21559
118,41.825104,-87.6364191523,3,chicago,26220,6679
119,41.825104,-87.638433668,0,chicago,34067,55955
120,41.825104,-87.638433668,1,chicago,48694,53253
121,41.825104,-87.638433668,2,chicago,62817,17069
122,41.825104,-87.638433668,3,chicago,36298,56327
123,41.825104,-87.6404481837,0,chicago,64649,549
124,41.825104,-87.6404481837,1,chicago,52208,18448
125,41.825104,-87.6404481837,2,chicago,69013,5677
126,41.825104,-87.6404481837,3,chicago,53416,33742
127,41.825104,-87.6424626994,0,chicago,39366,44156
128,41.825104,-87.6424626994,1,chicago,6645,87321
129,41.825104,-87.6424626994,2,chicago,10465,63943
130,41.825104,-87.6424626994,3,chicago,20894,64300
131,41.825104,-87.6444772151,0,chicago,46150,34462
132,41.825104,-87.6444772151,1,chicago,27834,68918
133,41.825104,-87.6444772151,2,chicago,30175,57503
134,41.825104,-87.6444772151,3,chicago,1295,90793
135,41.825104,-87.6464917308,0,chicago,51157,13125
136,41.825104,-87.6464917308,1,chicago,65184,17918
137,41.825104,-87.6464917308,2,chicago,61798,3276
138,41.825104,-87.6464917308,3,chicago,36125,169
139,41.825104,-87.6485062465,0,chicago,75776,25636
140,41.825104,-87.6485062465,1,chicago,71822,7051
141,41.825104,-87.6485062465,2,chicago,71251,4161
142,41.825104,-87.6485062465,3,chicago,67507,18068
143,41.825104,-87.6505207622,0,chicago,66176,4085
144,41.825104,-87.6505207622,1,chicago,14548,1112
145,41.825104,-87.6505207622,2,chicago,51293,2168
146,41.825104,-87.6505207622,3,chicago,73398,3010
147,41.825104,-87.6525352779,0,chicago,80215,32883
148,41.825104,-87.6525352779,1,chicago,71534,13627
149,41.825104,-87.6525352779,2,chicago,52792,14189
150,41.825104,-87.6525352779,3,chicago,77379,12293
151,41.825104,-87.6545497935,0,chicago,53823,28336
152,41.825104,-87.6545497935,1,chicago,69693,33691
153,41.825104,-87.6545497935,2,chicago,71921,28988
154,41.825104,-87.6545497935,3,chicago,67388,11835
155,41.825104,-87.6605933406,0,chicago,60402,18427
156,41.825104,-87.6605933406,1,chicago,52934,27188
157,41.825104,-87.6605933406,2,chicago,76557,10246
158,41.825104,-87.6605933406,3,chicago,67363,4678
159,41.825104,-87.6626078563,0,chicago,42883,24399
160,41.825104,-87.6626078563,1,chicago,40279,17589
161,41.825104,-87.6626078563,2,chicago,1094,544
162,41.825104,-87.6626078563,3,chicago,39711,34495
163,41.825104,-87.664622372,0,chicago,73009,27146
164,41.825104,-87.664622372,1,chicago,67671,13818
165,41.825104,-87.664622372,2,chicago,35659,1
166,41.825104,-87.664622372,3,chicago,56478,10853
167,41.825104,-87.6666368877,0,chicago,29986,62239
168,41.825104,-87.6666368877,1,chicago,5689,85743
169,41.825104,-87.6666368877,2,chicago,30409,38762
170,41.825104,-87.6666368877,3,chicago,31529,45156
171,41.825104,-87.6686514034,0,chicago,28457,48631
172,41.825104,-87.6686514034,1,chicago,43530,9762
173,41.825104,-87.6686514034,2,chicago,29641,76564
174,41.825104,-87.6686514034,3,chicago,18825,83316
175,41.825104,-87.6706659191,0,chicago,47890,35935
176,41.825104,-87.6706659191,1,chicago,26627,70229
177,41.825104,-87.6706659191,2,chicago,44190,50132
178,41.825104,-87.6706659191,3,chicago,47846,36098
179,41.826604,-87.6162739953,0,chicago,10636,100451
180,41.826604,-87.6162739953,1,chicago,64471,57054
181,41.826604,-87.6162739953,2,chicago,41020,60585
182,41.826604,-87.6162739953,3,chicago,5745,138645
183,41.826604,-87.618288511,0,chicago,49138,27907
184,41.826604,-87.618288511,1,chicago,44496,31269
185,41.826604,-87.618288511,2,chicago,24947,24910
186,41.826604,-87.618288511,3,chicago,28327,38465
187,41.826604,-87.6203030267,0,chicago,45371,50098
188,41.826604,-87.6203030267,1,chicago,66181,38467
189,41.826604,-87.6203030267,2,chicago,59379,44046
190,41.826604,-87.6203030267,3,chicago,53404,36144
191,41.826604,-87.6223175424,0,chicago,18854,71719
192,41.826604,-87.6223175424,1,chicago,55815,56307
193,41.826604,-87.6223175424,2,chicago,60225,52979
194,41.826604,-87.6223175424,3,chicago,42923,44378
195,41.826604,-87.6243320581,0,chicago,34450,39963
196,41.826604,-87.6243320581,1,chicago,48985,28196
197,41.826604,-87.6243320581,2,chicago,20808,5013
198,41.826604,-87.6243320581,3,chicago,45753,19214
199,41.826604,-87.6263465738,0,chicago,44654,43617
200,41.826604,-87.6263465738,1,chicago,48497,55906
