,lat,lng,tree,sky
0,37.713894,-122.439195111,42579.0,35190.25
1,37.713894,-122.441092635,4109.25,49669.0
2,37.713894,-122.442990159,1261.5,39662.0
3,37.713894,-122.444887684,4409.0,48311.5
4,37.713894,-122.446785208,9319.0,60918.25
5,37.713894,-122.448682732,12725.0,56497.0
6,37.713894,-122.452477781,22683.5,70361.0
7,37.713894,-122.454375306,9060.0,54504.0
8,37.715394,-122.431605013,21305.0,54795.0
9,37.715394,-122.433502537,2882.75,49424.75
10,37.715394,-122.435400062,6712.25,58704.25
11,37.715394,-122.437297586,2495.75,61656.5
12,37.715394,-122.439195111,4241.5,52318.75
13,37.715394,-122.441092635,1011.0,45391.5
14,37.715394,-122.442990159,528.25,57327.5
15,37.715394,-122.444887684,13137.25,57179.75
16,37.715394,-122.446785208,17454.5,59793.75
17,37.715394,-122.448682732,19114.5,49312.25
18,37.715394,-122.450580257,16674.0,45598.5
19,37.715394,-122.452477781,1950.5,53603.0
20,37.715394,-122.454375306,24298.75,32915.5
21,37.715394,-122.45627283,26933.0,48454.0
22,37.715394,-122.460067879,2774.25,52343.75
23,37.715394,-122.461965403,2630.25,58006.5
24,37.715394,-122.463862927,3882.25,49906.75
25,37.716894,-122.424014916,100274.0,14246.5
26,37.716894,-122.42591244,58187.0,34687.25
27,37.716894,-122.427809964,9577.5,62362.75
28,37.716894,-122.429707489,5964.75,50643.75
29,37.716894,-122.431605013,4202.0,54040.75
30,37.716894,-122.433502537,7629.5,53844.0
31,37.716894,-122.435400062,7565.75,57487.0
32,37.716894,-122.437297586,9148.25,56437.5
33,37.716894,-122.439195111,1908.75,52140.75
34,37.716894,-122.441092635,1912.75,68308.25
35,37.716894,-122.442990159,2374.0,50099.0
36,37.716894,-122.444887684,18892.5,50235.0
37,37.716894,-122.446785208,20032.5,49121.75
38,37.716894,-122.448682732,22115.25,70862.0
39,37.716894,-122.450580257,10201.25,49872.0
40,37.716894,-122.452477781,9675.5,50731.5
41,37.716894,-122.454375306,7205.75,62803.5
42,37.716894,-122.45627283,7612.75,55505.5
43,37.716894,-122.458170354,6031.25,62941.0
44,37.716894,-122.460067879,963.0,51865.75
45,37.716894,-122.461965403,1590.25,48412.0
46,37.716894,-122.463862927,9210.0,51935.0
47,37.716894,-122.465760452,10824.0,53726.5
48,37.716894,-122.467657976,16198.75,54139.5
49,37.716894,-122.469555501,9506.5,54729.25
50,37.718394,-122.422117391,73320.5,22375.75
51,37.718394,-122.42591244,71752.75,24089.5
52,37.718394,-122.427809964,4137.25,60280.5
53,37.718394,-122.429707489,9263.25,58145.75
54,37.718394,-122.431605013,3023.25,51268.75
55,37.718394,-122.433502537,9742.75,54925.75
56,37.718394,-122.435400062,2142.0,64139.25
57,37.718394,-122.437297586,3613.0,57222.5
58,37.718394,-122.439195111,3102.0,39865.5
59,37.718394,-122.441092635,4691.5,41615.5
60,37.718394,-122.442990159,2299.5,54384.75
61,37.718394,-122.444887684,9474.0,58982.0
62,37.718394,-122.446785208,7989.25,54675.25
63,37.718394,-122.448682732,9634.0,72834.0
64,37.718394,-122.450580257,23852.0,58191.75
65,37.718394,-122.452477781,17925.5,39207.5
66,37.718394,-122.454375306,13307.25,54835.5
