
Agassiz	boston/42.38036956,-71.11218636_3.png	boston/42.384046,-71.11948208_2.png	boston/42.38180675,-71.11257835_2.png	boston/42.37826491,-71.11628716_1.png	boston/42.38020547,-71.118991_3.png	boston/42.38006594,-71.11242892_1.png	boston/42.37997543,-71.11058511_0.png	boston/42.37718623,-71.11873245_1.png	boston/42.37810743,-71.1097415_2.png	boston/42.380918,-71.11828371_1.png	
Allston	boston/42.35548246,-71.11818571_3.png	boston/42.35894602,-71.11743038_1.png	boston/42.36254997,-71.13071411_1.png	boston/42.3656157,-71.11694788_2.png	boston/42.35360276,-71.13079587_0.png	boston/42.35904142,-71.12899686_0.png	boston/42.35980757,-71.11672887_1.png	boston/42.36227864,-71.12949067_2.png	boston/42.37254229,-71.12754745_2.png	boston/42.35870278,-71.1246329_3.png	
Area2MIT	boston/42.35612269,-71.10178221_1.png	boston/42.35472577,-71.10104009_1.png	boston/42.36020949,-71.0917855_2.png	boston/42.35367312,-71.10327517_1.png	boston/42.35767051,-71.09086396_0.png	boston/42.36203448,-71.08993635_3.png	boston/42.35381788,-71.10350685_1.png	boston/42.35893429,-71.09475318_1.png	boston/42.36148152,-71.08987355_3.png	boston/42.3580401,-71.09516086_0.png	
BROOKLINE_02445	boston/42.31827461,-71.12765673_2.png	boston/42.33620365,-71.1413583_3.png	boston/42.31466482,-71.13786708_2.png	boston/42.32939812,-71.11744435_3.png	boston/42.32801304,-71.15412849_2.png	boston/42.33986657,-71.14188891_1.png	boston/42.31264586,-71.1324895_1.png	boston/42.33473832,-71.14149859_1.png	boston/42.32247531,-71.14683415_1.png	boston/42.33726595,-71.1284634_0.png	
BROOKLINE_02446	boston/42.34333314,-71.1123759_2.png	boston/42.34095535,-71.10914661_1.png	boston/42.33874768,-71.12897873_3.png	boston/42.34337681,-71.13092129_3.png	boston/42.34657737,-71.12761826_0.png	boston/42.33992389,-71.13429896_2.png	boston/42.34871224,-71.10901356_1.png	boston/42.3500108,-71.11466358_0.png	boston/42.34178529,-71.12959859_1.png	boston/42.35131801,-71.11523213_1.png	
BackBay	boston/42.35566634,-71.07311024_1.png	boston/42.35112501,-71.08686936_0.png	boston/42.35224333,-71.07779244_3.png	boston/42.35151351,-71.07974429_1.png	boston/42.3450016,-71.08529175_2.png	boston/42.34426658,-71.08626392_0.png	boston/42.35156548,-71.07144315_3.png	boston/42.34853363,-71.07788889_3.png	boston/42.3485956,-71.08780516_0.png	boston/42.35181061,-71.08303791_0.png	
BayVillage	boston/42.34888424,-71.06789033_0.png	boston/42.34859857,-71.06853467_0.png	boston/42.34946923,-71.06896541_0.png	boston/42.34902355,-71.06745122_2.png	boston/42.3490892,-71.06920617_0.png	boston/42.34868605,-71.07042196_0.png	boston/42.34826399,-71.06879885_0.png	boston/42.34910072,-71.06722663_2.png	boston/42.34906319,-71.06796817_2.png	boston/42.34888424,-71.06789033_3.png	
BeaconHill	boston/42.35309493,-71.0692306_2.png	boston/42.35514825,-71.06981584_1.png	boston/42.35310869,-71.0682434_1.png	boston/42.35269819,-71.06980446_2.png	boston/42.35621111,-71.06457877_0.png	boston/42.35720009,-71.06738516_3.png	boston/42.3582926,-71.07071593_2.png	boston/42.35649404,-71.06312973_2.png	boston/42.35346483,-71.06586193_3.png	boston/42.35513545,-71.07033476_1.png	
Brighton	boston/42.35398709,-71.15517702_0.png	boston/42.34428414,-71.15362224_3.png	boston/42.34480924,-71.14212687_2.png	boston/42.35549482,-71.148179_0.png	boston/42.35604044,-71.16027861_3.png	boston/42.3316417,-71.15682072_3.png	boston/42.34684467,-71.15052295_2.png	boston/42.3609362,-71.13758627_3.png	boston/42.35555228,-71.14320099_0.png	boston/42.3454046,-71.160838_1.png	
Cambridgeport	boston/42.36455096,-71.10720355_1.png	boston/42.35919668,-71.11306182_0.png	boston/42.35920775,-71.10766743_3.png	boston/42.35483725,-71.1124383_1.png	boston/42.36296853,-71.10946986_3.png	boston/42.35556294,-71.10884693_3.png	boston/42.36049153,-71.10297836_2.png	boston/42.35978786,-71.09835298_0.png	boston/42.35870177,-71.10670729_3.png	boston/42.36252379,-71.10093511_2.png	
