0,0.25266,0.42006,0,0,0,0.60819,0.37803,0,0,0,0,0.48974,0.72144,0.65582,0,0,0.78206,0.61181,0.93563,1.0831,6.0718,0,2.837,1.3125,0.4041,0,0,0.46596,0,0,0.17851
2.3133,0,4.1841,0.35591,2.8079,1.4916,2.298,0,3.1963,1.6709,4.0538,3.8044,1.1202,1.7505,1.9029,0.27857,2.8173,1.3223,3.7981,4.9888,3.9142,2.695,0.83646,0.54941,1.4497,2.554,1.2416,2.1444,0.89947,2.8712,2.3524,2.0763
0.61649,0.73531,0,0.10305,0.082123,0.76279,0,0.18716,1.0757,3.1253,1.0215,0.39015,0.29431,0,0.66917,0.21254,1.3756,0.46414,0.2576,0.26952,0.56602,0,0.39994,0.082082,0,0.847,0.13973,0.63474,0.59006,0,0.29251,1.8538
0,0.28049,0.8095,0,0.3156,15.556,0.6887,17.056,1.2612,1.6162,1.6264,1.3122,0,2.1795,1.7936,10.412,1.4979,6.3769,0.28023,0.2269,0.55302,0,3.7486,0.48009,1.1918,0.8623,2.7286,0.52462,4.3512,0.53531,0.31998,5.4844
0,0.72013,1.1523,0.6368,0,0,0.31841,0,0.80566,1.4869,0.16148,2.0602,0.49945,0.35077,0.14624,0.12381,1.2991,0.46554,0,0,0.8961,0,0.28531,0,1.2634,0.91521,0.53586,1.4395,0.46359,1.8032,0.82996,0.10249
0,0,0,4.0915,0,0,0,5.7416,0.27194,0,0.21561,0.90508,0.22943,0.87911,0.94296,4.7881,0,0.13297,0,0,0,0,1.6248,0,0.6259,0.35493,0.47825,0,4.2372,0,0,1.6524
1.6838,1.5164,0.65444,0,1.2859,0,0,0,0.87348,0.74164,0.17323,1.3273,0,0,0.31192,0,0.56633,0.12648,1.1359,3.3403,0.49733,0.77029,0,3.772,1.5417,0,0,1.5045,1.315,3.9627,1.6975,0.43915
0.34331,0,0,2.3827,0.30468,3.1289,0.66048,0,0.84074,0,0.20856,0.33075,0.22797,0.32687,0,1.4787,0.18809,0.90356,0,0,0.082379,0.25531,0.85056,0,1.3468,0,0.58986,0.34212,1.8775,0.72222,0.49756,0.56587
0.5731,2.7773,3.4954,0.58627,5.8378,0,1.5979,0.24026,0,1.5947,0.90932,2.3377,1.8019,0.47603,1.7449,0,4.233,0.17222,1.2332,1.1012,1.1038,0,1.1919,0,0.65961,1.7773,1.51,3.4169,1.4884,2.609,2.9306,0.88543
0,1.0283,1.3532,0.10602,0.49264,0.21079,0.17352,0.1458,0.36423,0,0.7635,0.12766,0.41336,0.61433,0.88746,0,0.53763,0.56926,0.031589,0.21059,0.44467,0,0.056495,0,0.33941,0.42831,0,0.16275,0,1.475,0.26562,0.82001
