0,1.114,0,0.071384,0,0,0.15078,0.3972,0.37873,0,0,0.13589,0.42572,0,0,0,0.56741,0,0.16606,0.30665,0,2.4678,1.7813,1.7543,0,0,0.2562,0,2.2809,1.9132,0.80982
0,0,0.17084,0.30161,0,0,0.49123,0,0.1575,1.0283,0.68016,0,0,0,0,0,0,0.064331,0,0,0.26565,0,0,1.7268,0.4854,0.70437,0.13269,0.16255,0.3342,0,0.092391
0,0.21716,0,0,0,0,0,0.90068,0,0.7596,0,0,0.40672,0,0,0,0,0.63662,0,0.84214,0,0.23787,1.0398,0,0,0.75202,0.72168,0,0,0.12739,1.444
0.66332,0.30512,0,0,0,0,0,0,0.24789,1.0398,0,0,0,1.8979,0,0,0.47887,0,0,0.68943,0,0.10919,0.41716,0,0,0,1.1229,0,0,0,0.18033
1.6771,2.2764,0.39212,0,0,1.0141,2.428,0.57857,1.8162,0.90796,0.87664,1.7261,1.2251,0.53608,1.7144,1.6272,0.7985,1.1899,0.47003,0.11717,2.4635,2.0178,3.3757,1.889,0.62863,0.81204,1.5642,1.2479,0.71222,1.298,0.72401
2.0548,0.17348,0.88086,0,3.5255,0,2.7435,0.69983,1.8596,0.22497,1.541,2.3579,1.38,3.1303,7.0956,2.843,0.6964,1.8292,0.95004,0.59005,3.6876,1.7177,2.2541,1.055,4.1897,0.94115,0.7148,3.8886,1.196,1.5244,0.88602
0.94635,1.1557,0,0.12721,0.46963,0.66007,0,0.65479,0.23145,0.57014,0.22127,0.21043,0.9223,0.323,0.72294,0.26973,1.1383,0.44384,0.89342,0.51709,1.0004,1.3083,0.56771,1.2586,1.2127,0.78141,1.0401,0.11189,0.305,0.90853,0.092145
1.2142,0.33587,0.45876,0,0.23363,0.21562,0.093717,0,0.15211,0.1148,0,0,0.14771,0,0.29466,0,0,0.24472,0.10833,0,0,0.18683,0,0,0,0.46052,0.53755,0.71832,0,1.0431,0.87487
0.68311,0,0.21427,0,0,0.67896,0.058823,0.397,0,0,0,0.59905,0,0.47092,1.121,1.9053,0,0,0.44671,0.16521,0.3887,0.10408,0.35463,0,0.73243,0.31171,0.99365,0,0.4768,0,0.38214
1.915,7.8928,1.0843,0.69033,1.0725,1.2219,3.5144,0.82541,0.99896,0,15.586,2.423,0.66226,1.9309,2.2058,2.993,0.27065,15.807,6.9382,3.603,4.9686,2.8413,0.59039,1.3988,5.5898,2.5616,3.1063,0.35607,2.0661,0.7319,1.1173
1.0551,0.48928,0,0,2.8646,0.1371,0.34021,0,0.64189,0.97508,0,0.71702,0.32136,0,0.31207,1.4343,0.88447,1.5287,1.4885,0,0.61892,0.51759,0.59151,0,1.7658,0,0.67472,0.2041,0,1.148,0.17607
